OBJECTID,HEIGHT_norm
1,3
2,3
3,6
4,3
5,6
6,6
7,6
8,3
9,3
10,3
11,9
12,6
13,6
14,9
15,6
16,6
17,15
18,3
19,3
20,9
21,6
22,6
23,3
24,9
25,6
26,6
27,9
28,6
29,3
30,9
31,9
32,9
33,3
34,39
35,0
36,9
37,6
38,18
39,3
40,3
41,3
42,3
43,3
44,9
45,3
46,3
47,6
48,6
49,6
50,3
51,6
52,3
53,6
54,3
55,9
56,6
57,12
58,9
59,9
60,6
61,3
62,3
63,9
64,3
65,9
66,6
67,9
68,6
69,3
70,9
71,9
72,6
73,9
74,12
75,9
76,9
77,12
78,12
79,6
80,9
81,9
82,6
83,9
84,3
85,3
86,12
87,9
88,12
89,18
90,3
91,6
92,6
93,6
94,6
95,3
96,6
97,12
98,6
99,9
100,12
101,9
102,12
103,9
104,9
105,15
106,9
107,6
108,9
109,6
110,6
111,3
112,6
113,9
114,12
115,9
116,3
117,12
118,12
119,3
120,3
121,6
122,9
123,6
124,6
125,3
126,3
127,6
128,6
129,9
130,9
131,9
132,12
133,12
134,9
135,6
136,9
137,12
138,9
139,15
140,12
141,9
142,9
143,12
144,6
145,3
146,6
147,6
148,6
149,6
150,3
151,3
152,3
153,3
154,12
155,12
156,3
157,6
158,9
159,9
160,12
161,3
162,9
163,9
164,6
165,3
166,9
167,9
168,3
169,6
170,9
171,6
172,6
173,12
174,9
175,6
176,6
177,9
178,6
179,3
180,9
181,3
182,6
183,9
184,9
185,9
186,9
187,9
188,6
189,9
190,12
191,6
192,12
193,3
194,6
195,9
196,9
197,3
198,9
199,12
200,9
201,6
202,9
203,12
204,9
205,12
206,12
207,3
208,12
209,3
210,9
211,9
212,12
213,6
214,6
215,6
216,9
217,6
218,6
219,12
220,9
221,6
222,6
223,6
224,9
225,3
226,9
227,6
228,9
229,9
230,3
231,12
232,9
233,9
234,9
235,6
236,9
237,9
238,3
239,3
240,12
241,9
242,9
243,6
244,9
245,3
246,3
247,3
248,6
249,12
250,6
251,12
252,3
253,6
254,9
255,9
256,6
257,6
258,3
259,6
260,0
261,3
262,12
263,12
264,6
265,9
266,9
267,9
268,9
269,9
270,9
271,6
272,6
273,12
274,6
275,6
276,6
277,3
278,6
279,6
280,9
281,6
282,12
283,9
284,9
285,9
286,9
287,6
288,9
289,9
290,6
291,9
292,3
293,6
294,6
295,6
296,3
297,6
298,9
299,3
300,9
301,9
302,9
303,9
304,9
305,9
306,3
307,6
308,3
309,6
310,3
311,3
312,6
313,6
314,6
315,3
316,6
317,3
318,9
319,9
320,12
321,9
322,9
323,24
324,3
325,3
326,3
327,6
328,12
329,9
330,9
331,6
332,6
333,6
334,3
335,9
336,9
337,9
338,9
339,9
340,9
341,3
342,6
343,12
344,9
345,9
346,12
347,9
348,9
349,12
350,9
351,9
352,9
353,9
354,6
355,9
356,6
357,6
358,3
359,9
360,15
361,9
362,6
363,6
364,6
365,6
366,9
367,9
368,6
369,9
370,9
371,9
372,9
373,12
374,12
375,12
376,12
377,12
378,6
379,6
380,9
381,9
382,9
383,9
384,9
385,9
386,9
387,6
388,9
389,12
390,12
391,18
392,3
393,9
394,9
395,12
396,9
397,9
398,6
399,9
400,12
401,9
402,3
403,9
404,12
405,12
406,3
407,9
408,9
409,12
410,12
411,9
412,9
413,9
414,9
415,9
416,9
417,9
418,9
419,9
420,9
421,12
422,12
423,12
424,12
425,9
426,12
427,9
428,9
429,9
430,9
431,3
432,9
433,9
434,9
435,9
436,9
437,9
438,9
439,9
440,6
441,12
442,9
443,9
444,12
445,12
446,12
447,6
448,9
449,9
450,12
451,9
452,12
453,9
454,9
455,9
456,9
457,15
458,3
459,9
460,9
461,9
462,9
463,9
464,9
465,9
466,9
467,9
468,12
469,9
470,9
471,9
472,12
473,12
474,12
475,12
476,12
477,12
478,15
479,3
480,12
481,6
482,3
483,6
484,6
485,6
486,6
487,9
488,6
489,3
490,6
491,9
492,6
493,3
494,3
495,3
496,9
497,3
498,6
499,3
500,9
501,6
502,6
503,9
504,9
505,6
506,6
507,6
508,3
509,6
510,6
511,6
512,3
513,6
514,9
515,6
516,9
517,6
518,6
519,6
520,6
521,9
522,3
523,9
524,9
525,9
526,6
527,3
528,6
529,9
530,12
531,12
532,12
533,9
534,9
535,9
536,9
537,18
538,18
539,18
540,18
541,6
542,3
543,18
544,18
545,18
546,18
547,18
548,3
549,18
550,3
551,6
552,6
553,6
554,6
555,9
556,9
557,6
558,6
559,3
560,3
561,3
562,6
563,6
564,6
565,3
566,6
567,3
568,3
569,6
570,9
571,9
572,9
573,6
574,9
575,9
576,6
577,6
578,12
579,9
580,3
581,6
582,6
583,6
584,6
585,6
586,6
587,9
588,6
589,6
590,6
591,6
592,6
593,9
594,3
595,6
596,3
597,6
598,3
599,9
600,6
601,3
602,9
603,12
604,9
605,12
606,3
607,6
608,3
609,6
610,9
611,12
612,9
