OBJECTID,YearBuilt1,HEIGHT,UseDescription
000102100DF29G,1983,3,3
000143600DG20A,1975,3,2
000209700DG10B,1970,6,2
000328800DG10D,1940,3,1
000328900DG10D,1960,6,1
000407600DG10E,1980,6,1
000407700DG10E,1980,6,1
000407800DG10E,1980,3,1
000407900DG10E,1980,3,1
000408200DG10E,1980,3,1
000430800DF19H,1960,9,2
000430900DF19H,1965,6,2
000431000DF19H,1977,6,2
000531100DG10D,1970,9,1
000600200DG20C,1920,6,1
000600300DG20C,1974,6,4
000600600DG20C,1960,15,4
000710400DF19H,1980,3,3
000710500DF19H,2000,3,N
000930600DG10D,1930,9,1
000937500DG10D,1995,6,3
000939100DG20A,1956,6,2
000939200DG10D,1930,3,2
001033700DG10D,1960,9,1
001101100DG20E,1975,6,1
001101400DG20C,1995,6,2
001101500DG20C,1993,9,2
001101600DG20C,1980,6,4
001101700DG20C,1993,3,2
001103100DG20A,1968,9,2
001103400DG20A,1970,9,2
001200100DG20C,2008,9,4
001204200DG20A,1972,3,4
001204300DG20A,1978,39,4
001205100DG20A,1978,0,3
001205500DG20A,1992,9,4
001206700DG20A,1994,6,4
001206800DG20A,1968,18,1
001206900DG20A,1969,3,4
001207200DG20A,1971,3,3
001214300DG10D,1960,3,1
001214400DG10D,1958,3,1
001214500DG10D,1972,3,4
001214600DG10D,1960,9,1
001214700DG10D,1960,3,1
001214800DG10D,1960,3,1
001214900DG10D,1960,6,1
001215000DG10D,1960,6,1
001215100DG10D,1960,6,1
001329100DG10F,1982,3,1
0014105DG2001A,1961,6,1
0014106DG2001A,1941,3,1
0014107DG2001A,1969,6,1
0014108DG2001A,1968,3,1
001429600DG10F,1968,9,4
001440800DG10C,2001,6,2
0014501DG2001A,1976,12,4
0015104DG2001A,1993,9,3
0015105DG2001A,1973,9,1
0015106DG2001A,1960,6,1
0015107DG2001A,1971,3,1
0015108DG2001A,1984,3,3
0015109DG2001A,1973,9,1
0015110DG2001A,1974,3,1
0015111DG2001A,1975,9,1
0015112DG2001A,1970,6,1
0015115DG2001A,1975,9,1
0015116DG2001A,1970,6,1
0015117DG2001A,2000,3,1
0015118DG2001A,1971,9,1
0015119DG2001A,1976,9,3
0015121DG2001A,1970,6,3
0015122DG2001A,1974,9,1
0015123DG2001A,1976,12,1
0015124DG2001A,1974,9,1
0015125DG2001A,1968,9,1
0015126DG2001A,1974,12,1
0015127DG2001A,2016,12,1
0015128DG2001A,1971,6,1
0015129DG2001A,1971,9,1
0015130DG2001A,1971,9,1
0015131DG2001A,1971,6,1
0015201DG2001A,2006,9,1
0015202DG2001A,1957,3,1
0015203DG2001A,1994,3,4
0015204DG2001A,1978,12,1
0015205DG2001A,1971,9,1
0015206DG2001A,2009,12,1
0015207DG2001A,1976,18,1
0015208DG2001A,1993,3,3
0015213DG2001A,1993,6,3
0015216DG2001A,1974,6,1
0015217DG2001A,1973,6,1
0015218DG2001A,1971,6,1
001601000DG20E,1975,3,3
001609000DG10B,0190,6,3
0016103DG2001A,1978,12,1
0016104DG2001A,1976,6,1
0016105DG2001A,1971,9,1
0016106DG2001A,2008,12,1
0016107DG2001A,1971,9,1
0016108DG2001A,1971,12,1
0016109DG2001A,1974,9,1
0016110DG2001A,1961,9,1
0016111DG2001A,1969,15,1
0016112DG2001A,1974,9,1
0016113DG2001A,1975,6,1
0016114DG2001A,1961,9,1
0016115DG2001A,1971,6,1
0016117DG2001A,1996,6,3
