OBJECTID,HEIGHT_norm
1,3
2,3
3,6
11,9
12,6
13,6
16,6
17,15
18,3
19,3
21,6
22,6
23,3
26,6
27,9
28,6
29,3
30,9
31,9
32,9
33,3
34,39
35,0
36,9
37,6
39,3
40,3
43,3
55,9
56,6
57,12
58,9
62,3
71,9
72,6
85,3
90,3
91,6
95,3
96,6
110,6
114,12
116,3
119,3
120,3
125,3
126,3
127,6
128,6
143,12
144,6
145,3
146,6
147,6
148,6
149,6
150,3
151,3
152,3
165,3
188,6
193,3
207,3
209,3
214,6
225,3
230,3
233,9
247,3
252,3
256,6
258,3
277,3
279,6
292,3
294,6
295,6
296,3
297,6
299,3
306,3
307,6
308,3
309,6
310,3
311,3
312,6
313,6
314,6
315,3
323,24
324,3
325,3
326,3
327,6
341,3
386,9
387,6
392,3
406,3
431,3
458,3
479,3
497,3
508,3
541,6
550,3
551,6
552,6
553,6
554,6
555,9
556,9
557,6
558,6
559,3
560,3
561,3
562,6
563,6
564,6
565,3
566,6
567,3
568,3
569,6
570,9
571,9
572,9
573,6
574,9
575,9
576,6
577,6
578,12
579,9
580,3
581,6
582,6
583,6
584,6
585,6
589,6
596,3
597,6
601,3
615,6
618,3
622,12
714,3
727,3
752,3
753,3
754,3
792,6
793,3
809,3
837,3
848,3
850,6
857,3
885,3
952,9
959,3
967,3
1018,6
1030,15
1031,6
1032,6
1033,6
1034,9
1035,3
1036,3
1037,3
1038,3
1039,3
1040,6
1081,3
1092,0
1133,3
1135,6
1139,3
1141,6
1142,3
1228,3
1230,3
1240,3
1255,3
1266,3
1268,3
1289,6
1301,9
1302,6
1303,3
1396,0
1398,3
1399,3
1406,3
1433,3
1438,3
1441,3
1458,3
1480,3
1524,6
1541,3
1556,3
1573,3
1599,3
1634,3
1636,6
1637,3
1638,3
1639,6
1640,6
1641,3
1642,9
1643,3
1644,3
1645,3
1646,6
1647,6
1648,6
1649,9
1650,3
1651,3
1652,3
1653,9
1654,3
1655,6
1656,3
1657,6
1658,3
1659,15
1660,3
1661,6
1662,3
1663,3
1664,3
1665,3
1667,3
1669,3
1670,3
1671,3
1672,3
1673,3
1674,6
1676,6
1677,6
1678,6
1679,6
1680,3
1681,6
1682,6
1683,3
1684,6
1685,3
1686,3
1687,6
1688,9
1689,6
1690,3
1691,6
1692,3
1693,9
1694,6
1695,6
1696,3
1697,3
1698,3
1699,6
1700,3
1701,3
1702,12
1703,9
1704,3
1705,6
1706,9
1707,3
1708,6
1710,3
1711,3
1712,6
1713,3
1714,6
1715,3
1716,3
1717,3
1718,6
1719,6
1720,3
1721,3
1722,3
1723,3
1724,3
1725,3
1726,6
1727,3
1728,3
1729,3
1730,6
1731,3
1732,6
1733,3
1734,6
1735,6
1736,3
1737,3
1738,3
1739,6
1740,3
1741,3
1742,3
1744,3
1746,6
1747,3
1748,3
1749,3
1750,3
1751,6
1752,6
1753,3
1754,3
1755,3
1756,3
1757,3
1758,3
1759,6
1760,9
1761,3
1762,6
1763,3
1764,6
1765,3
1766,3
1767,6
1768,0
1769,3
1770,6
1771,6
1772,3
1773,9
1774,6
1775,3
1777,3
1778,6
1779,3
1780,3
1781,9
1782,6
1783,3
1784,3
1785,3
1786,6
1787,6
1788,3
1789,6
1790,6
1791,6
1792,3
1793,3
1794,6
1795,6
1796,6
1797,6
1798,9
1799,9
1800,3
1801,9
1802,3
1803,9
1804,3
1805,6
1806,3
1807,3
1808,3
1809,6
1810,3
1811,3
1812,3
1813,3
1814,3
1815,3
1816,3
1817,6
1818,9
1819,3
1820,3
1821,3
1822,3
1823,3
1824,3
1825,3
1826,3
1827,12
1828,3
1829,3
1830,6
1831,6
1840,6
1843,3
1863,3
1903,3
1913,3
1925,3
1926,3
1942,3
1973,3
1990,6
2006,6
2012,3
2017,3
2039,3
2042,3
2069,3
2080,3
2124,3
2139,3
2151,3
2197,0
2305,0
2347,0
2356,6
2366,3
2368,6
2390,3
2428,3
2442,3
2463,3
2474,3
2490,6
2494,3
2546,3
2552,3
2558,3
2656,3
2684,3
2685,3
2686,3
2695,3
2708,3
2715,0
2748,3
2771,9
2772,3
2806,12
2839,3
2847,3
2849,3
2875,0
2886,3
2897,3
2900,3
2910,3
2928,3
2939,3
2941,3
2944,6
2952,6
2953,9
2969,12
2973,3
2991,3
2992,3
2993,6
2994,3
2995,6
2996,9
2997,3
2998,9
3018,3
3019,15
3042,6
3043,9
3054,3
3093,9
3153,6
3172,6
3174,9
3196,3
3200,15
3201,3
3207,3
3214,6
3215,3
3227,3
3228,3
3290,3
3303,6
3320,6
3345,3
3451,6
3467,9
3468,3
3469,3
3566,9
3618,9
3643,6
3644,6
3651,3
3663,9
3668,3
3696,6
3698,6
3758,6
3759,3
3760,3
3788,6
3827,3
3832,3
3871,6
3875,3
3876,12
3877,3
3880,3
3886,3
3887,12
3893,6
3910,9
3911,3
3912,3
3929,3
3937,3
