OBJECTID,HEIGHT_norm
1,3
18,3
21,6
35,0
40,3
58,9
62,3
71,9
72,6
90,3
91,6
95,3
96,6
110,6
114,12
116,3
119,3
125,3
127,6
128,6
143,12
144,6
145,3
150,3
151,3
152,3
165,3
188,6
193,3
207,3
209,3
214,6
225,3
230,3
247,3
252,3
256,6
258,3
296,3
299,3
323,24
325,3
326,3
341,3
392,3
431,3
497,3
550,3
551,6
552,6
553,6
554,6
555,9
556,9
557,6
558,6
559,3
560,3
561,3
562,6
563,6
564,6
565,3
566,6
567,3
568,3
569,6
570,9
571,9
572,9
573,6
574,9
575,9
576,6
578,12
579,9
581,6
582,6
584,6
585,6
596,3
601,3
615,6
618,3
714,3
727,3
752,3
754,3
792,6
793,3
809,3
848,3
885,3
959,3
967,3
1037,3
1081,3
1092,0
1139,3
1230,3
1240,3
1255,3
1266,3
1268,3
1289,6
1303,3
1398,3
1399,3
1433,3
1438,3
1441,3
1458,3
1480,3
1541,3
1556,3
1573,3
1599,3
1634,3
1655,6
1665,3
1685,3
1704,3
1707,3
1754,3
1792,3
1817,6
1843,3
1863,3
1903,3
1925,3
1926,3
1973,3
2006,6
2012,3
2017,3
2069,3
2080,3
2124,3
2139,3
2356,6
2366,3
2368,6
2390,3
2442,3
2656,3
2684,3
2748,3
2772,3
2839,3
2886,3
2900,3
2941,3
2944,6
2973,3
3042,6
3043,9
3054,3
3093,9
3174,9
3201,3
3207,3
3214,6
3215,3
3227,3
3228,3
3290,3
3345,3
3451,6
3468,3
3643,6
3644,6
3668,3
3759,3
3760,3
3788,6
3832,3
3875,3
3876,12
3877,3
3893,6
3929,3
3937,3
4074,3
4139,3
4142,9
4143,9
4152,3
4161,3
4168,3
4169,9
4170,9
4181,6
4196,3
4197,3
4198,3
4199,3
4237,3
4241,6
4302,3
4303,9
4307,3
4314,3
4315,6
4387,3
4408,6
4418,3
4481,3
4524,3
4757,6
4778,3
4810,3
4811,3
4844,6
4859,3
4872,6
4933,9
4934,6
4935,6
4936,3
4938,3
4942,6
4943,6
4945,3
4946,3
4947,3
4948,3
4949,6
4952,9
4953,6
4954,3
4955,3
4956,6
4958,3
4959,6
4960,6
4961,6
4962,6
4971,12
4975,3
4978,3
5026,3
5080,3
5081,3
5137,3
5200,3
5201,3
5202,6
5249,3
5254,9
5255,3
5288,6
5294,3
5295,3
5387,9
5389,6
5508,3
5530,6
5556,3
5588,6
5590,3
5634,6
5673,9
5674,9
5759,3
5766,12
5777,6
5786,3
5886,6
5917,6
5931,3
5965,3
5974,3
5978,3
5985,6
6033,12
6073,3
6093,3
6126,6
6135,6
6196,3
6261,6
6262,6
6267,12
6268,6
6283,3
6286,9
6304,15
6328,3
6335,3
6347,3
6348,3
6349,3
6350,3
6351,3
6352,3
6353,3
6354,0
6355,6
6356,3
6357,3
6358,3
6359,3
6360,3
6361,3
6364,3
6365,3
6366,3
6367,3
6368,3
6369,12
6370,6
6371,3
6372,6
6373,3
6413,3
6474,9
6498,6
6581,6
6586,3
6603,3
6617,3
6620,3
6633,3
6634,6
6635,6
6639,6
6640,3
6687,6
6688,6
6693,3
6710,3
6754,3
6764,6
6773,3
6777,6
6782,3
6783,3
6798,6
6848,3
6920,6
6946,6
6971,3
6993,3
7005,6
7051,3
7059,9
7060,6
7061,9
7062,9
7063,6
7064,9
7065,6
7066,3
7067,3
7068,3
7069,3
7070,3
7071,3
7072,12
7073,3
7074,3
7097,9
7276,6
7284,3
7285,3
7288,12
7318,9
7392,3
7397,3
7425,12
7427,3
7430,9
7477,3
7478,9
7479,6
7480,3
7481,6
7488,9
7501,6
7516,18
7536,3
7608,3
7679,6
7747,3
7781,3
7785,3
7797,3
7846,12
7868,9
7874,3
7921,6
7988,3
8030,3
8161,9
8264,3
8301,3
8330,6
8345,3
8346,3
8347,3
8373,18
8374,9
8381,3
8400,3
8405,3
8454,6
8461,3
8501,3
8512,9
8565,3
8619,3
8687,9
8709,9
8766,6
8773,6
8837,3
8933,3
8941,3
8949,6
8981,3
9025,6
9028,3
9029,3
9030,6
9031,3
9143,12
9144,12
9163,3
9201,6
9306,3
9344,6
9434,3
9459,3
9557,3
9569,6
9570,6
9588,3
9603,9
9604,3
9735,6
9749,3
9929,3
10048,3
10049,3
10056,6
10058,6
10071,3
10120,15
10123,6
10175,3
10244,6
10257,9
10258,3
10261,3
10280,3
10326,9
10336,6
10371,3
10372,9
10439,3
10455,9
10501,6
10525,3
10526,3
10527,3
10528,3
10529,6
10530,3
10531,3
10532,3
10533,3
10534,3
10535,6
10536,3
10537,6
10538,3
10539,3
10540,3
10541,9
10542,6
10543,3
10544,3
10545,3
10546,6
10547,3
10548,3
10549,3
10550,6
10551,3
10600,6
10604,3
10619,18
10631,3
10661,9
10684,9
10747,3
10783,9
10784,3
10795,6
10796,9
10797,9
10798,6
10800,15
10802,3
10805,3
10806,12
10807,3
10808,3
10810,9
10811,6
10822,9
10833,0
10834,6
10853,12
10857,3
10917,3
10931,3
11013,3
11033,3
11088,6
11089,6
11090,3
11092,3
11093,6
11094,9
11095,3
11096,3
11097,3
11098,3
11099,3
11100,6
11101,6
11102,3
11103,3
11104,6
11105,6
11106,6
11107,6
11108,6
11109,6
11110,6
11118,6
11119,9
11120,15
11121,3
11122,3
11124,3
11125,3
11126,3
11127,3
11128,6
11158,3
11233,9
11263,3
11308,3
11475,3
11477,9
11478,3
11497,6
11498,3
11499,6
11539,3
11564,6
11614,6
11639,3
11740,6
11749,3
11750,9
11751,3
11752,6
11753,3
11754,3
11755,9
11756,3
11757,3
11758,3
11759,3
11760,3
11761,3
11762,3
11763,12
11764,9
11765,3
11767,3
11770,6
11771,6
11773,9
11799,6
11800,3
12050,9
12084,12
12171,3
12225,9
12259,6
12271,12
12273,3
12274,6
12276,3
12370,3
12420,6
12421,3
12422,3
12423,3
12424,3
12426,3
12427,3
12428,3
12430,3
12431,6
12432,6
12433,6
12434,6
12435,6
12436,3
12437,6
12438,3
12439,6
12440,6
12441,6
12442,6
12443,6
12444,6
12445,3
12446,3
12447,6
12448,3
12449,3
12450,3
12451,3
12452,3
12453,3
12454,3
12455,0
12456,3
12457,6
12458,3
12459,3
12460,3
12461,3
12462,3
12466,6
12471,3
12483,3
12496,3
12499,9
12555,6
12565,3
12580,6
12591,3
12596,12
12604,6
12640,3
12673,6
12805,12
12810,9
12814,9
12815,3
12838,6
12854,12
12917,3
12990,3
13034,3
13046,6
13048,3
13055,9
13056,12
13078,3
13087,12
13088,3
13133,3
13137,6
13147,3
13148,3
13159,6
13160,6
13163,3
13164,6
13165,6
13226,3
13232,15
13265,6
13321,3
13377,6
13417,3
13486,9
13499,3
13534,3
13541,12
13567,3
13626,6
13637,12
13667,3
13687,9
13711,3
13712,6
13758,9
13795,3
13796,6
13797,3
13798,6
13799,3
13800,3
13801,6
13802,6
13803,9
13804,6
13805,6
13806,6
13807,6
13809,6
13810,3
13811,3
13813,3
13814,6
13815,12
13816,6
13817,6
13818,3
13820,6
13821,6
13822,6
13823,6
13826,6
13829,6
13830,3
13831,3
13832,6
13833,12
13834,3
13835,3
13844,3
13845,6
13846,3
13847,3
13866,3
13868,3
13876,12
13958,6
13966,9
13980,6
13985,3
14189,6
14192,6
14333,9
14347,9
14367,9
14369,6
14379,3
14409,3
14425,3
14475,3
14484,3
14494,3
14495,3
14497,3
14498,3
14500,6
14501,3
14502,6
14503,6
14504,9
14505,3
14506,6
14508,9
14509,6
14510,3
14511,3
14512,6
14526,12
14527,3
14528,3
14529,3
14587,6
14588,6
14589,6
14590,6
14591,6
14592,6
14593,9
14594,9
14595,6
14596,3
14597,3
14598,3
14599,6
14600,6
14601,6
14602,6
14603,6
14604,6
14605,6
14637,18
14638,9
14690,3
14820,3
14918,3
14977,9
15054,3
15086,12
15087,12
15158,3
15162,3
15171,3
15220,3
15221,3
15222,3
15261,9
15290,3
15350,6
15370,12
15374,3
15375,9
15437,6
15467,3
15477,9
15483,3
15512,6
15560,9
15666,3
15693,6
15712,6
15753,3
15807,3
15865,3
15874,3
15931,3
16022,3
16079,9
16080,6
16154,3
16221,6
16232,3
16263,18
16265,6
16283,6
16286,6
16307,3
16327,12
16328,6
16405,3
16418,9
16431,9
16436,3
16441,6
16450,3
16461,3
16478,3
16493,6
16549,3
16610,3
16615,3
16665,9
16666,3
16696,3
16705,6
16718,3
16765,6
16846,3
16847,3
16848,3
16866,3
16871,6
16906,3
16962,3
17011,3
17067,3
17170,3
17201,3
17205,3
17207,9
17222,3
17253,3
17301,6
17418,3
17422,0
17440,6
17483,3
17484,3
17485,3
17486,3
17487,3
17488,3
17489,3
17490,3
17491,3
17492,3
17493,3
17494,3
17495,3
17496,6
17502,3
17637,6
17659,3
17683,12
17686,3
17697,9
17706,3
17717,6
17742,6
17745,15
17761,6
17801,3
17906,6
17907,3
17910,3
17939,9
17941,12
17942,9
17943,3
17983,9
17999,12
18015,6
18126,3
18129,3
18146,6
18199,6
18209,3
18257,3
18268,3
18301,15
18302,3
18303,9
18304,3
18305,6
18306,6
18307,3
18308,3
18309,3
18310,3
18312,6
18313,6
18318,3
18355,3
18363,6
18423,3
18475,3
18476,3
18477,3
18478,3
18499,3
18556,6
18564,6
18565,6
18566,3
18581,3
18639,6
18643,6
18650,6
18723,6
18782,9
18795,3
18818,6
18819,3
18820,9
18825,3
18830,3
18831,6
18832,9
18865,9
18910,3
18913,9
19016,6
19029,15
19103,6
19168,3
19183,9
19184,9
19185,6
19186,9
19187,3
19188,3
19189,3
19197,3
19198,3
19201,9
19203,15
19204,6
19206,3
19208,6
19209,6
19211,12
19212,6
19214,6
19215,3
19216,6
19217,3
19218,3
19219,6
19224,6
19265,3
19299,3
19344,3
19349,6
19351,6
19358,6
19360,3
19361,3
19389,9
19392,9
19393,3
19395,9
19425,6
19437,3
19533,3
19572,9
19573,6
19575,6
19583,6
19600,6
19601,3
19602,6
19603,6
19604,9
19606,6
19608,3
19609,3
19610,6
19611,3
19613,3
19614,9
19615,3
19621,3
19624,3
19637,3
19647,9
19649,3
19744,6
19757,12
19826,6
19844,6
19845,3
19908,9
19994,9
19997,0
20000,15
20004,6
20005,6
20014,3
20022,3
20024,6
20025,6
20026,3
20028,9
20029,6
20030,3
20033,6
20035,15
20037,6
20038,6
20043,3
20054,6
20081,6
20098,3
20101,12
20103,3
20106,6
20119,6
20171,3
20195,9
20219,3
20225,9
20226,6
20250,3
20262,3
20364,3
20368,3
20383,6
20384,3
20392,3
20552,12
20622,3
20623,6
20624,6
20625,6
20626,12
20627,3
20628,6
20629,3
20630,6
20631,3
20632,3
20633,3
20634,3
20635,3
20636,3
20637,3
20639,3
20640,3
20641,3
20642,3
20643,12
20644,3
20649,6
20651,3
20652,9
20654,6
20655,3
20656,6
20657,6
20658,12
20660,3
20662,3
20681,3
20691,6
20735,3
20747,6
20748,6
20749,9
20750,3
20754,6
20791,3
20826,3
20873,3
20876,9
20893,3
20927,3
20928,3
21046,3
21095,9
21137,3
21163,3
21168,3
21169,6
21170,3
21171,9
21172,3
21173,3
21174,6
21175,3
21176,12
21177,12
21178,9
21179,6
21180,15
21181,6
21195,6
21196,6
21197,3
21200,3
21247,6
21248,6
21332,3
21339,3
21366,6
21382,3
21384,6
21385,3
21386,3
21387,3
21388,3
21389,3
21390,3
21391,6
21392,6
21393,6
21395,3
21396,3
21397,6
21398,3
21422,3
21462,3
21469,3
21479,3
21509,3
21511,6
21525,3
21587,3
21591,3
21593,3
21600,3
21601,6
21602,3
21606,3
21607,3
21628,3
21629,6
21631,3
21657,3
21685,9
21748,6
21751,3
21753,6
21844,3
21845,3
21855,3
21856,6
21857,9
21858,9
21859,9
21860,3
21861,6
21862,3
21864,3
21867,3
21915,6
21923,12
21924,3
21925,3
21954,3
21962,3
21966,3
21988,3
22005,3
22038,3
22046,3
22076,6
22077,9
22078,3
22080,6
22082,6
22083,6
22084,6
22085,3
22087,6
22089,3
22091,3
22092,6
22093,3
22094,6
22095,3
22096,3
22097,3
22098,6
22099,3
22100,3
22101,3
22102,3
22103,3
22104,3
22106,3
22107,3
22108,3
22112,3
22113,3
22114,6
22115,6
22116,3
22119,12
22120,6
22134,6
22135,3
22278,6
22310,3
22326,3
22521,3
22522,3
22523,3
22524,3
22525,3
22526,3
22527,3
22528,3
22529,3
22530,3
22531,9
22533,3
22534,3
22535,6
22536,3
22537,3
22538,3
22539,3
22540,3
22541,6
22542,3
22544,3
22545,3
22546,3
22548,3
22549,9
22551,3
22553,6
22557,6
22558,15
22559,6
22564,3
22597,6
22598,6
22599,15
22602,9
22603,9
22691,6
22692,3
22693,3
22694,6
22695,9
22696,3
22697,6
22698,6
22699,3
22700,3
22701,6
22702,3
22703,6
22704,3
22705,3
22706,9
22707,9
22708,6
22709,3
22710,3
22711,3
22712,3
22713,3
22714,6
22715,6
22716,3
22717,6
22718,6
22719,3
22720,3
22721,3
22722,12
22723,3
22724,6
22725,6
22726,3
22727,3
22728,3
22731,6
22732,3
22733,6
22734,3
22735,3
22737,3
22738,3
22739,3
22740,3
22741,6
22742,6
22743,6
22745,12
22746,3
22747,6
22748,6
22749,3
22750,6
22751,3
22813,3
22864,3
22929,3
23004,6
23173,3
23268,9
23350,3
23351,9
23359,3
23368,3
23369,3
23370,6
23396,9
23397,6
23402,6
23422,3
23423,6
23424,3
23425,3
23426,3
23427,6
23435,6
23436,3
23472,6
23475,3
23488,3
23491,3
23510,3
23516,3
23543,3
23552,6
23554,6
23556,6
23606,6
23607,9
23608,3
23610,9
23611,3
23612,3
23613,3
23614,9
23615,6
23616,3
23617,3
23618,6
23619,3
23621,3
23622,3
23623,15
23624,3
23625,3
23626,6
23627,6
23628,6
23629,6
23630,6
23631,3
23632,3
23633,3
23634,3
23635,3
23636,3
23637,3
23638,3
23639,3
23640,3
23641,9
23642,6
23643,6
23644,3
23645,6
23646,6
23647,3
23648,3
23649,6
23650,3
23651,6
23652,3
23714,3
23735,6
23744,12
23778,3
23785,3
23802,6
23813,6
23824,6
23825,3
23860,3
23891,3
23908,3
23909,3
23910,3
23911,3
23912,3
23913,3
23914,3
23915,3
23916,3
23917,3
23923,3
23930,3
23984,3
24039,3
24080,3
24147,3
24148,3
24149,9
24150,3
24151,3
24152,3
24153,6
24154,3
24155,6
24156,3
24157,6
24158,3
24159,6
24160,3
24161,3
24162,3
24163,6
24164,6
24165,6
24166,6
24167,3
24168,3
24169,6
24171,3
24172,6
24173,6
24174,6
24175,9
24176,6
24177,3
24178,3
24192,3
24199,12
24211,6
24214,9
24215,6
24217,9
24218,3
24219,3
24220,3
24221,3
24227,6
24229,9
24231,3
24235,3
24248,6
24282,3
24314,3
24316,6
24318,6
24319,3
24321,6
24322,3
24324,3
24330,9
24331,6
24333,6
24334,6
