OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
1,1983,3,3,358
2,1975,3,2,119
3,1970,6,2,400
11,1960,9,2,443
12,1965,6,2,478
13,1977,6,2,245
16,1974,6,4,13611
17,1960,15,4,21710
18,1980,3,3,800
19,2000,3,N,0
21,1995,6,3,20310
22,1956,6,2,1502
23,1930,3,2,23
26,1995,6,2,2024
27,1993,9,2,958
28,1980,6,4,3182
29,1993,3,2,64
30,1968,9,2,6572
31,1970,9,2,8653
32,2008,9,4,17599
33,1972,3,4,1958
34,1978,39,4,100249
35,1978,0,3,89
36,1992,9,4,2456
37,1994,6,4,4693
39,1969,3,4,6621
40,1971,3,3,15
43,1972,3,4,42
55,1968,9,4,4389
56,2001,6,2,225
57,1976,12,4,4061
58,1993,9,3,518
62,1984,3,3,117
71,1976,9,3,345
72,1970,6,3,210
85,1994,3,4,336
90,1993,3,3,274
91,1993,6,3,170
95,1975,3,3,18
96,190,6,3,12027
110,1996,6,3,697
114,1992,12,3,915
116,1975,3,3,108
119,1950,3,3,5259
120,1975,3,2,138
125,1970,3,3,157
126,1969,3,4,138
127,1994,6,3,673
128,1987,6,3,475
143,2022,12,3,13536
144,1993,6,3,13397
145,1993,3,3,19
146,1968,6,4,17733
147,1969,6,4,4732
148,1880,6,2,3660
149,1963,6,4,34250
150,1993,3,3,10463
151,2002,3,3,11161
152,1971,3,3,22
165,1970,3,3,123
188,1967,6,3,221
193,1985,3,3,192
207,1998,3,3,206
209,1979,3,3,160
214,1989,6,3,703
225,1969,3,3,50
230,1973,3,3,160
233,1977,9,4,566
247,1975,3,3,211
252,1974,3,3,15
256,1990,6,3,343
258,1996,3,3,198
277,1979,3,2,98
279,1971,6,2,1615
292,1979,3,2,176
294,1981,6,2,420
295,1982,6,2,258
296,1975,3,3,20
297,1981,6,2,421
299,1960,3,3,42
306,1980,3,2,500
307,1960,6,2,147
308,1960,3,2,58
309,1982,6,2,197
310,1982,3,2,95
311,1993,3,2,45
312,1991,6,2,177
313,1963,6,2,245
314,1963,6,2,294
315,1960,3,2,159
323,1952,24,3,55270
324,2008,3,4,1200
325,2012,3,3,1556
326,1993,3,3,3159
327,1968,6,4,32840
341,1978,3,3,35
386,1990,9,4,417
387,1992,6,4,461
392,1999,3,3,522
406,1987,3,4,3093
431,1987,3,3,98
458,1999,3,4,700
479,2010,3,4,2443
497,1970,3,3,42
508,2006,3,4,33
541,1973,6,4,6398
550,1977,3,3,29
551,2004,6,3,9599
552,1993,6,3,4265
553,1993,6,3,6280
554,2018,6,3,4010
555,1991,9,3,2482
556,2007,9,3,1520
557,1991,6,3,6536
558,1990,6,3,3511
559,1990,3,3,45
560,1990,3,3,45
561,1990,3,3,45
562,1990,6,3,3219
563,1993,6,3,8024
564,1999,6,3,4805
565,1992,3,3,12453
566,1991,6,3,451
567,1990,3,3,198
568,1990,3,3,75
569,1990,6,3,2728
570,1993,9,3,2029
571,1993,9,3,1950
572,1993,9,3,1795
573,1991,6,3,432
574,1990,9,3,2369
575,1993,9,3,2250
576,1994,6,3,2187
577,1989,6,4,2662
578,1989,12,3,1419
579,1990,9,3,4564
580,1992,3,4,5060
581,2003,6,3,2657
582,1994,6,3,339
583,1996,6,4,204
584,1994,6,3,463
585,1994,6,3,333
589,1987,6,4,239
596,1967,3,3,140
597,1963,6,4,178
601,1983,3,3,96
615,1990,6,3,626
618,1978,3,3,166
622,2008,12,4,3731
714,1975,3,3,105
727,1979,3,3,103
752,1983,3,3,103
753,1991,3,4,77
754,1995,3,3,77
792,1959,6,3,2084
793,1961,3,3,20
809,1996,3,3,284
837,1991,3,4,215
848,1981,3,3,33
850,1981,6,4,5673
857,1963,3,4,144
885,1989,3,3,234
952,1999,9,4,6350
959,1966,3,3,27
967,1985,3,3,232
1018,1993,6,4,561
1030,2012,15,4,1417
1031,1990,6,4,1635
1032,2010,6,4,1241
1033,1980,6,4,5926
1034,1977,9,4,5781
1035,2000,3,N,0
1036,2000,3,N,0
1037,1974,3,3,19
1038,1953,3,N,698
1039,2000,3,N,0
1040,1974,6,2,247
1081,1979,3,3,52
1092,1983,0,3,80
1133,2000,3,N,0
1135,1980,6,4,612
1139,1972,3,3,19
1141,1978,6,N,69833
1142,2000,3,4,24713
1228,1997,3,4,46
1230,1960,3,3,59
1240,1950,3,3,32
1255,1970,3,3,88
1266,1980,3,3,12
1268,1977,3,3,131
1289,1986,6,3,783
1301,1457,9,4,1385
1302,2007,6,4,403
1303,2017,3,3,2802
1396,2000,0,N,0
1398,1960,3,3,45
1399,1978,3,3,45
1406,1979,3,4,26
1433,1985,3,3,50
1438,1979,3,3,33
1441,1995,3,3,6
1458,1983,3,3,57
1480,1983,3,3,57
1524,1985,6,4,2400
1541,1962,3,3,29
1556,1960,3,3,83
1573,1982,3,3,89
1599,1982,3,3,51
1634,2000,3,3,28
1636,1930,6,2,3644
1637,1970,3,2,66
1638,1975,3,2,368
1639,1900,6,2,909
1640,1975,6,2,195
1641,1975,3,2,212
1642,1940,9,2,2089
1643,1994,3,2,186
1644,2014,3,2,381
1645,1968,3,2,398
1646,1970,6,2,244
1647,1979,6,2,222
1648,1975,6,2,178
1649,1979,9,2,412
1650,1999,3,2,57
1651,1995,3,2,209
1652,1994,3,2,641
1653,1940,9,2,4274
1654,1995,3,2,4667
1655,1986,6,3,4140
1656,1985,3,2,1704
1657,1920,6,2,1662
1658,1984,3,2,357
1659,2010,15,4,8535
1660,2000,3,N,0
1661,1975,6,2,673
1662,2000,3,N,0
1663,1994,3,2,447
1664,2000,3,2,61
1665,1990,3,3,522
1667,1994,3,2,43
1669,1984,3,2,62
1670,1970,3,2,269
1671,1975,3,2,341
1672,1970,3,2,3641
1673,1940,3,2,126
1674,1987,6,2,1318
1676,1966,6,2,2651
1677,1979,6,2,2572
1678,1500,6,2,2531
1679,2006,6,2,3884
1680,1960,3,2,170
1681,1994,6,2,618
1682,1995,6,2,3183
1683,1995,3,2,171
1684,1995,6,2,1323
1685,1960,3,3,5877
1686,1946,3,2,87
1687,1985,6,2,3335
1688,1959,9,2,3125
1689,1943,6,2,641
1690,2000,3,2,126
1691,1993,6,2,322
1692,1980,3,2,105
1693,1880,9,2,955
1694,1880,6,2,1417
1695,2004,6,4,692993
1696,2005,3,4,182566
1697,2006,3,2,232
1698,1990,3,2,15
1699,1880,6,2,1051
1700,1990,3,2,4195
1701,2000,3,2,51
1702,1880,12,2,2041
1703,1950,9,2,1178
1704,1984,3,3,461
1705,2000,6,N,0
1706,1906,9,2,2434
1707,2000,3,3,143
1708,1975,6,2,213
1710,2000,3,N,0
1711,1960,3,2,37
1712,1964,6,2,257
1713,1968,3,2,915
1714,1958,6,2,247
1715,1974,3,2,316
1716,2012,3,2,95
1717,2000,3,2,60
1718,1975,6,2,540
1719,1994,6,2,26
1720,2000,3,N,0
1721,1990,3,2,53
1722,1990,3,2,250
1723,2000,3,2,249
1724,1990,3,2,32
1725,1975,3,2,350
1726,1978,6,2,698
1727,2004,3,2,68
1728,1984,3,2,85
1729,1995,3,2,95
1730,1975,6,2,1606
1731,1994,3,2,273
1732,1990,6,2,541
1733,1968,3,2,324
1734,1985,6,2,188
1735,1989,6,2,347
1736,1975,3,2,550
1737,2012,3,2,126
1738,2006,3,2,51
1739,1960,6,2,141
1740,1980,3,2,132
1741,1972,3,2,521
1742,1955,3,2,87
1744,1965,3,2,496
1746,1985,6,2,266
1747,2012,3,2,131
1748,1995,3,2,55
1749,1970,3,2,40
1750,1995,3,2,68
1751,2000,6,2,126
1752,1984,6,2,296
1753,1984,3,2,69
1754,2003,3,3,1016
1755,2000,3,N,0
1756,1995,3,2,38
1757,2000,3,N,0
1758,2006,3,2,74
1759,1970,6,2,98
1760,1960,9,2,431
1761,1967,3,2,110
1762,1991,6,2,303
1763,1995,3,2,110
1764,1940,6,2,168
1765,1978,3,2,449
1766,1995,3,2,673
1767,1974,6,2,255
1768,2000,0,N,0
1769,1990,3,2,164
