OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
16,1974,6,6.0,13611
17,1960,15,6.0,21710
28,1980,6,6.0,3182
34,1978,39,6.0,100249
36,1992,9,6.0,2456
39,1969,3,6.0,6621
55,1968,9,6.0,4389
57,1976,12,6.0,4061
85,1994,3,6.0,336
324,2008,3,6.0,1200
327,1968,6,6.0,32840
406,1987,3,6.0,3093
458,1999,3,6.0,700
479,2010,3,6.0,2443
508,2006,3,6.0,33
622,2008,12,6.0,3731
837,1991,3,6.0,215
952,1999,9,6.0,6350
1030,2012,15,6.0,1417
1031,1990,6,6.0,1635
1032,2010,6,6.0,1241
1033,1980,6,6.0,5926
1034,1977,9,6.0,5781
1135,1980,6,6.0,612
1142,2000,3,6.0,24713
1228,1997,3,6.0,46
1406,1979,3,6.0,26
1524,1985,6,6.0,2400
1695,2004,6,6.0,692993
1696,2005,3,6.0,182566
1827,1920,12,6.0,14358
1840,1982,6,6.0,55
1913,2004,3,6.0,37
1942,1982,3,6.0,59
2039,2008,3,6.0,103
2042,2004,3,6.0,377
2428,1980,3,6.0,57
2463,2006,3,6.0,119
2685,1980,3,6.0,104
2708,1996,3,6.0,39
2771,2005,9,6.0,4761
2849,1980,3,6.0,20
2939,1999,3,6.0,1352
2998,2018,9,6.0,6403
3018,2004,3,6.0,736
3019,2008,15,6.0,3778
3172,1984,6,6.0,3539
3196,1984,3,6.0,611
3200,1930,15,6.0,17573
3467,1974,9,6.0,4914
3566,2010,9,6.0,5085
3758,1999,6,6.0,1248
3887,1900,12,6.0,416
3910,1960,9,6.0,2553
3911,1970,3,6.0,4297
3912,1970,3,6.0,1568
4141,1960,3,6.0,738
4149,1960,9,6.0,2693
4150,1960,12,6.0,3647
4263,1983,12,6.0,5599
4336,2005,6,6.0,1286
4364,1960,6,6.0,181
4393,2004,9,6.0,1781
4775,1993,9,6.0,1061
4940,1987,6,6.0,410
4957,1978,3,6.0,775
4973,1960,9,6.0,418
4974,1960,12,6.0,1710
5198,1975,9,6.0,1537
5494,1936,6,6.0,658
5515,1956,6,6.0,320
5863,1970,3,6.0,115
6194,1959,6,6.0,444
6405,2006,6,6.0,588
6434,2000,9,6.0,6042
6576,1981,3,6.0,5462
6792,1988,12,6.0,1222
6800,1969,15,6.0,1710
6951,1890,9,6.0,2550
6973,1960,3,6.0,730
7034,1996,12,6.0,4733
7035,2003,12,6.0,593
7390,1970,12,6.0,1241
7604,1963,24,6.0,975
7771,2007,9,6.0,1559
7808,1970,6,6.0,307
7901,1965,15,6.0,7580
7902,2006,3,6.0,516
7903,1965,12,6.0,2676
8368,1989,15,6.0,706
8500,1980,9,6.0,5654
8505,1991,18,6.0,4034
8506,2003,3,6.0,496
8573,1975,9,6.0,549
8659,1988,6,6.0,1170
8813,1975,27,6.0,6757
8851,1961,9,6.0,3659
9123,1998,3,6.0,187
9184,1920,9,6.0,3076
9660,1959,3,6.0,1641
9676,2012,12,6.0,4891
9853,1996,12,6.0,1165
10043,2008,18,6.0,16141
10179,1954,12,6.0,981
10199,1982,18,6.0,3735
10200,1980,18,6.0,18096
10245,1908,21,6.0,17367
10426,1959,9,6.0,257
10612,1953,18,6.0,8568
10629,1977,18,6.0,2041
10632,1977,18,6.0,1412
10794,1921,9,6.0,2438
10803,1993,6,6.0,8578
10804,2000,12,6.0,2692
10927,1958,18,6.0,2101
11014,1975,3,6.0,7644
11015,1975,6,6.0,38625
11018,2004,12,6.0,16901
11080,2009,9,6.0,5360
11153,1933,6,6.0,172
11190,1942,9,6.0,197
11223,1950,15,6.0,13403
11229,1896,12,6.0,607
11237,1900,3,6.0,324
11238,1900,3,6.0,352
11250,2011,12,6.0,510
11309,1898,9,6.0,3495
11318,1919,6,6.0,1165
11326,1898,15,6.0,5907
11353,1936,6,6.0,2774
11531,2000,6,6.0,5513
11596,1950,6,6.0,850
11781,1920,6,6.0,121
11895,1955,9,6.0,233
11912,1950,9,6.0,368
11915,1973,15,6.0,606
11917,1903,15,6.0,9701
11959,1903,6,6.0,1126
12013,1900,3,6.0,37
12085,1900,15,6.0,5984
12136,1994,3,6.0,81
12219,1999,12,6.0,7552
12226,1969,3,6.0,390
12359,1950,6,6.0,16580
12369,2004,6,6.0,3133
12371,2006,3,6.0,869
12372,2007,6,6.0,763
12410,2022,6,6.0,1931
12411,2022,12,6.0,7239
12536,1978,6,6.0,922
12750,1940,6,6.0,544
12751,1940,12,6.0,821
12775,1919,9,6.0,2110
12809,1947,12,6.0,1024
12818,1986,12,6.0,6950
12820,1900,12,6.0,3644
12825,1900,12,6.0,397
12831,1947,12,6.0,3142
12832,1947,9,6.0,1216
12833,1947,12,6.0,3003
12872,1947,9,6.0,1347
12876,1929,15,6.0,4276
12903,1927,9,6.0,1839
12919,1930,9,6.0,1131
12920,2010,15,6.0,2209
12923,1900,12,6.0,2491
13018,2000,6,6.0,937
13090,1965,9,6.0,5870
13201,1930,12,6.0,2602
13238,1946,9,6.0,203
13239,1950,9,6.0,592
13272,2007,24,6.0,5952
13280,1900,9,6.0,504
13345,2020,12,6.0,2686
13371,1929,9,6.0,1680
13493,1898,12,6.0,1789
13515,1905,9,6.0,646
13533,1997,12,6.0,2142
13623,2009,3,6.0,1083
13710,1960,12,6.0,6872
13808,1993,6,6.0,301
13812,1994,9,6.0,9228
13843,1988,3,6.0,1000
14097,1910,6,6.0,228
14109,1918,9,6.0,393
14443,1996,18,6.0,6574
14473,1975,6,6.0,4845
14474,1992,3,6.0,4161
14477,1992,6,6.0,3099
14631,2006,12,6.0,4479
14714,1900,9,6.0,251
14723,2012,9,6.0,149
14724,1956,9,6.0,2106
14737,1950,9,6.0,846
14796,1970,15,6.0,3111
14811,1900,9,6.0,842
14812,1900,9,6.0,228
14813,1900,9,6.0,1171
14815,1900,9,6.0,478
14817,1920,6,6.0,5004
14830,1900,6,6.0,2167
14849,1920,9,6.0,8142
14865,1936,9,6.0,92
14870,1940,9,6.0,891
14871,1962,6,6.0,428
14881,1900,18,6.0,6400
14965,1880,9,6.0,448
15052,2007,6,6.0,967
15342,1975,9,6.0,7359
15357,1970,9,6.0,4014
15446,2002,9,6.0,676
15468,1960,15,6.0,12817
15474,1900,12,6.0,584
15489,1974,57,6.0,18523
15505,1880,9,6.0,268
15514,1993,12,6.0,5482
15515,1999,57,6.0,5312
15516,1999,15,6.0,15330
15542,1959,18,6.0,1126
15754,1975,9,6.0,1245
15757,1979,6,6.0,26702
15758,1950,3,6.0,212
15796,1977,12,6.0,4024
15797,1970,6,6.0,2192
16081,2013,3,6.0,20340
16084,1900,12,6.0,2068
16092,1948,9,6.0,1252
16094,2022,3,6.0,1261
16098,2003,6,6.0,237
16133,1880,12,6.0,626
16134,1880,9,6.0,2544
16146,1880,12,6.0,2131
16147,1995,9,6.0,192
16241,2003,15,6.0,2288
16433,1962,3,6.0,123
16462,1979,6,6.0,2944
16477,1983,3,6.0,2041
16601,2012,3,6.0,1261
16611,2003,12,6.0,6096
16612,1999,15,6.0,13188
16638,1960,6,6.0,138
16898,1998,6,6.0,4241
16899,1984,3,6.0,813
16901,2006,9,6.0,3556
16903,1970,6,6.0,20705
16904,1975,3,6.0,6678
16905,1977,9,6.0,6216
16907,1977,9,6.0,4989
16908,1994,6,6.0,1318
16909,1988,12,6.0,6373
16910,2002,6,6.0,1415
16912,2014,6,6.0,2747
17044,1962,12,6.0,7299
17124,1920,3,6.0,786
17129,1973,6,6.0,3057
17255,1996,6,6.0,4279
17432,1930,12,6.0,1415
17480,1999,6,6.0,1494
17481,2009,6,6.0,3774
17799,1950,6,6.0,1606
17800,2003,15,6.0,10118
17850,1960,12,6.0,3108
17851,2000,9,6.0,2334
17853,2012,18,6.0,4397
17937,1945,6,6.0,2587
18724,1960,15,6.0,22401
18725,1996,21,6.0,5752
18726,1920,12,6.0,12282
18805,1992,12,6.0,5997
18955,1930,15,6.0,1034
19195,1995,3,6.0,63
19196,1970,6,6.0,821
19324,1994,15,6.0,1652
19366,1930,9,6.0,357
19367,1970,15,6.0,2192
19376,1996,18,6.0,1537
19574,1963,9,6.0,5285
19612,1975,3,6.0,336
19719,2000,12,6.0,291
20003,2000,9,6.0,67392
20169,1930,9,6.0,515
20203,1930,6,6.0,298
20209,1970,6,6.0,3561
20224,1997,3,6.0,187
20227,1992,6,6.0,1275
20228,2018,15,6.0,941
20341,1963,15,6.0,1481
20361,2003,9,6.0,1057
20362,1939,12,6.0,4661
20363,1939,3,6.0,435
20365,1939,6,6.0,506
20366,1939,6,6.0,532
20367,1939,6,6.0,554
20489,1950,18,6.0,703
20497,1998,9,6.0,188
20620,1996,9,6.0,3395
20638,1989,6,6.0,2513
20699,2023,21,6.0,6472
20807,1973,9,6.0,5158
20894,1943,9,6.0,6095
20895,1957,12,6.0,7833
21115,1963,3,6.0,101
21134,1968,3,6.0,4945
21135,1977,6,6.0,1180
21136,1976,9,6.0,6624
21138,2006,9,6.0,1653
21293,1970,9,6.0,479
21294,1970,6,6.0,684
21295,1995,12,6.0,1318
21296,1995,9,6.0,1379
21338,1981,9,6.0,4918
21418,1953,3,6.0,596
21475,1930,12,6.0,587
21605,1975,3,6.0,2484
21627,2004,12,6.0,6126
21801,1978,3,6.0,497
21885,1960,6,6.0,1120
22036,1990,3,6.0,1522
22037,1991,3,6.0,1559
22042,1998,3,6.0,1018
22090,1986,3,6.0,1294
22117,1970,6,6.0,374
22118,1988,6,6.0,385
22323,1910,3,6.0,63
22477,1940,6,6.0,1948
22478,1940,12,6.0,4265
22532,1950,6,6.0,1902
22547,1965,9,6.0,5306
22552,1955,3,6.0,143
22592,1973,3,6.0,351
22593,1973,12,6.0,970
22594,1966,12,6.0,997
22596,1968,15,6.0,2922
22600,2018,3,6.0,4820
22668,1950,12,6.0,1917
23431,1971,12,6.0,659
23520,1962,6,6.0,9992
23524,1960,9,6.0,5028
23563,1982,3,6.0,552
23568,2022,6,6.0,1210
23586,1972,3,6.0,61
23897,1984,3,6.0,2407
23907,1978,6,6.0,1256
24048,1961,12,6.0,4309
24052,1969,9,6.0,979
24079,1962,12,6.0,3309
24081,1962,6,6.0,1070
24141,1973,3,6.0,326
24145,1982,3,6.0,116
24190,1999,3,6.0,1008
24191,1970,6,6.0,1307
24193,1983,3,6.0,1041
24205,1996,6,6.0,1457
24283,1970,12,6.0,729
24518,1970,12,6.0,3918
24819,2010,6,6.0,523
25010,1976,12,6.0,624
25056,1993,6,6.0,453
25074,1973,3,6.0,418
25081,1968,9,6.0,398
25083,1969,6,6.0,281
25160,1992,3,6.0,478
25180,2006,9,6.0,6692
25256,1975,6,6.0,5958
25481,1968,6,6.0,3006
25488,1901,3,6.0,268
25600,2010,3,6.0,570
25640,2005,9,6.0,4246
25641,2011,9,6.0,7635
25642,1996,3,6.0,7638
25644,2004,9,6.0,1712
25652,1975,3,6.0,3362
