OBJECTID,HEIGHT_norm
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,6
14,3
15,3
16,3
17,3
18,9
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,6
28,3
29,3
30,3
31,3
32,3
33,9
34,3
35,3
36,3
37,6
38,3
39,6
40,3
41,3
42,3
43,3
44,3
45,9
46,3
47,3
48,9
49,3
50,12
51,3
52,3
53,3
54,3
55,3
56,3
57,6
58,3
59,3
60,6
61,6
62,3
63,3
64,3
65,3
66,12
67,6
68,3
69,3
70,9
71,3
72,6
73,3
74,3
75,3
76,6
77,3
78,3
79,3
80,3
81,6
82,3
83,3
84,3
85,3
86,3
87,6
88,6
89,3
90,6
91,3
92,3
93,3
94,3
95,6
96,3
97,3
98,3
99,3
100,3
101,3
102,9
103,6
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,9
112,3
113,3
114,3
115,6
116,3
117,6
118,3
119,3
120,15
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,6
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,9
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,6
160,3
161,6
162,3
163,3
164,9
165,3
166,3
167,3
168,3
169,6
170,3
171,3
172,3
173,3
174,3
175,6
176,3
177,3
178,6
179,3
180,3
181,3
182,3
183,3
184,6
185,3
186,3
187,3
188,3
189,6
190,3
191,3
192,6
193,3
194,6
195,3
196,9
197,3
198,3
199,6
200,3
201,6
202,3
203,3
204,6
205,3
206,6
207,3
208,6
209,3
210,3
211,3
212,6
213,3
214,3
215,3
216,3
217,3
218,3
219,6
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,6
230,3
231,3
232,3
233,6
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,12
243,6
244,9
245,3
246,6
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,6
255,3
256,6
257,6
258,3
259,6
260,3
261,3
262,9
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,6
271,3
272,3
273,3
274,3
275,6
276,6
277,3
278,6
279,3
280,6
281,6
282,3
283,3
284,3
285,3
286,6
287,3
288,3
289,6
290,3
291,6
292,3
293,9
294,6
295,6
296,3
297,3
298,6
299,3
300,3
301,6
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,9
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,9
323,3
324,9
325,3
326,3
327,3
328,9
329,6
330,15
331,3
332,3
333,3
334,3
335,6
336,12
337,3
338,9
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,6
350,3
351,3
352,3
353,3
354,6
355,3
356,3
357,3
358,3
359,6
360,3
361,12
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,9
372,3
373,6
374,3
375,3
376,3
377,3
378,9
379,9
380,3
381,3
382,3
383,6
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,9
392,3
393,6
394,6
395,6
396,6
397,6
398,3
399,3
400,3
401,3
402,3
403,3
404,6
405,6
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,12
415,6
416,3
417,9
418,3
419,3
420,3
421,6
422,3
423,6
424,6
425,3
426,3
427,3
428,9
429,3
430,6
431,3
432,3
433,3
434,9
435,3
436,6
437,3
438,3
439,6
440,3
441,3
442,3
443,6
444,3
445,6
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,6
455,6
456,3
457,3
458,3
459,6
460,3
461,9
462,3
463,6
464,6
465,3
466,6
467,3
468,3
469,6
470,3
471,3
472,3
473,3
474,3
475,9
476,3
477,3
478,3
479,12
480,6
481,6
482,6
483,3
484,3
485,3
486,6
487,3
488,9
489,3
490,3
491,6
492,3
493,12
494,3
495,3
496,6
497,6
498,3
499,3
500,6
501,6
502,6
503,6
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,6
523,6
524,3
525,3
526,3
527,9
528,6
529,3
530,3
531,6
532,3
533,9
534,3
535,3
536,3
537,3
538,3
539,3
540,6
541,3
542,9
543,3
544,6
545,3
546,3
547,3
548,3
549,3
550,9
551,3
552,3
553,9
554,3
555,3
556,3
557,3
558,3
559,3
560,6
561,3
562,3
563,6
564,3
565,3
566,3
567,9
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,9
577,6
578,3
579,3
580,6
581,3
582,6
583,3
584,3
585,3
586,6
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,6
612,3
