OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type
1,1961,3,1,0.2535211267605634,0.0642465570263404,33
2,1941,3,1,0.2535211267605634,0.0643802647412755,33
3,1969,3,1,0.4647887323943662,0.0,33
4,1968,3,1,0.7605633802816901,0.0758791282256986,33
5,1976,3,4,0.8873239436619719,0.1698756518251103,15
6,1976,3,10,0.8873239436619719,0.1698756518251103,67
7,1993,3,3,0.0140845070422535,0.0539510629763337,34
8,1973,3,12,0.2535211267605634,0.0539510629763337,79
9,1960,3,1,0.2535211267605634,0.0548870169808798,33
10,1971,3,1,0.2535211267605634,0.0601016178633507,33
11,1971,3,12,0.2535211267605634,0.0601016178633507,79
12,1984,3,12,0.2535211267605634,0.0595667870036101,71
13,1973,6,1,0.2535211267605634,0.0584302714266613,33
14,1974,3,1,0.2535211267605634,0.0569594865623746,33
15,1975,3,1,0.2535211267605634,0.0557561171279582,33
16,1975,3,12,0.2535211267605634,0.0557561171279582,71
17,1970,3,1,0.2535211267605634,0.0584302714266613,33
18,1975,9,1,0.7605633802816901,0.0879128225698622,33
19,1975,3,12,0.7605633802816901,0.0879128225698622,48
20,1970,3,1,0.7605633802816901,0.0883139457146677,33
21,2000,3,11,0.7605633802816901,0.088581361144538,50
22,2000,3,12,0.7605633802816901,0.088581361144538,48
23,1971,3,1,0.0,0.0,33
24,1976,3,3,0.7605633802816901,0.0887819227169407,34
25,1970,3,12,0.7605633802816901,0.089049338146811,71
26,1974,3,1,0.7605633802816901,0.0889156304318759,33
27,1976,6,1,0.7605633802816901,0.0888487765744083,33
28,1976,3,8,0.7605633802816901,0.0887150688594731,26
29,1968,3,1,0.7605633802816901,0.088581361144538,33
30,1968,3,12,0.7605633802816901,0.088581361144538,79
31,1974,3,1,0.7605633802816901,0.0884476534296028,33
32,1974,3,12,0.7605633802816901,0.0884476534296028,71
33,2016,9,1,0.7605633802816901,0.0901189998662922,33
34,1971,3,1,0.5211267605633803,0.073138120069528,33
35,1971,3,12,0.5211267605633803,0.073138120069528,71
36,1971,3,1,0.5070422535211268,0.0724695814948522,33
37,1971,6,12,0.5070422535211268,0.0724695814948522,71
38,1971,3,1,0.5070422535211268,0.0730712662120604,33
39,1971,6,12,0.5070422535211268,0.0730712662120604,71
40,1971,3,1,0.7605633802816901,0.0887150688594731,33
41,1971,3,12,0.7605633802816901,0.0887150688594731,71
42,2006,3,1,0.7605633802816901,0.0578285867094531,33
43,1957,3,1,0.0,0.0536836475464634,33
44,1994,3,0,0.0,0.0538173552613985,57
45,1991,9,1,0.2535211267605634,0.3232384008557293,33
46,1978,3,12,0.2535211267605634,0.3232384008557293,71
47,1971,3,1,0.2535211267605634,0.0719347506351116,33
48,2009,9,1,0.2535211267605634,0.0695280117662789,33
49,1976,3,5,0.2535211267605634,0.0695948656237464,11
50,1976,12,1,0.2535211267605634,0.0695948656237464,33
51,1993,3,12,0.2535211267605634,0.0697285733386816,71
52,1993,3,3,0.7605633802816901,0.0554887016980879,34
53,1974,3,1,0.7605633802816901,0.0592325177162722,33
54,1973,3,1,0.7605633802816901,0.0601684717208182,33
55,1971,3,1,0.7605633802816901,0.0557561171279582,33
56,1971,3,12,0.7605633802816901,0.0557561171279582,71
57,1978,6,1,0.0,0.0564915095601016,33
58,1997,3,1,0.0,0.055956678700361,33
59,1976,3,12,0.0,0.055956678700361,79
60,1985,6,1,0.0,0.0558229709854258,33
61,2008,6,1,0.2535211267605634,0.0845032758390159,33
62,1971,3,1,0.2535211267605634,0.0679235191870571,33
63,1971,3,1,0.2535211267605634,0.0669207113250434,33
64,1986,3,1,0.2535211267605634,0.0663858804653028,33
65,1961,3,1,0.2535211267605634,0.0679235191870571,33
66,1969,12,1,0.2535211267605634,0.0688594731916031,33
67,1969,6,12,0.2535211267605634,0.0688594731916031,79
68,1974,3,1,0.5070422535211268,0.0539510629763337,33
69,1975,3,1,0.5070422535211268,0.0539510629763337,33
70,1961,9,1,0.5070422535211268,0.0538842091188661,33
71,1961,3,12,0.5070422535211268,0.0538842091188661,79
72,1971,6,1,0.5070422535211268,0.0536836475464634,33
73,1971,3,12,0.5070422535211268,0.0536836475464634,48
74,1996,3,3,0.5211267605633803,0.1286268217676159,34
75,1961,3,1,0.5070422535211268,0.0779515978071934,33
76,1987,6,1,0.5070422535211268,0.0560903864152961,33
77,2014,3,10,0.5070422535211268,0.0560903864152961,73
78,1987,3,11,0.5070422535211268,0.0560903864152961,10
79,1996,3,12,0.5070422535211268,0.0560903864152961,48
80,1987,3,1,0.5070422535211268,0.0538842091188661,33
81,1995,6,1,0.8450704225352113,0.1478138788608102,33
82,2002,3,12,0.8450704225352113,0.1478138788608102,71
83,1971,3,5,0.0,0.0331595133039176,11
84,1971,3,1,0.0,0.0331595133039176,33
