OBJECTID,HEIGHT_norm
1,0.03
2,0.03
3,0.03
4,0.03
9,0.03
10,0.03
13,0.06
14,0.03
15,0.03
17,0.03
18,0.09
20,0.03
23,0.03
26,0.03
27,0.06
29,0.03
31,0.03
33,0.09
34,0.03
36,0.03
38,0.03
40,0.03
42,0.03
43,0.03
45,0.09
47,0.03
48,0.09
50,0.12
53,0.03
54,0.03
55,0.03
57,0.06
58,0.03
60,0.06
61,0.06
62,0.03
63,0.03
64,0.03
65,0.03
66,0.12
68,0.03
69,0.03
70,0.09
72,0.06
75,0.03
76,0.06
80,0.03
81,0.06
84,0.03
87,0.06
90,0.06
91,0.03
92,0.03
94,0.03
95,0.06
102,0.09
104,0.03
106,0.03
108,0.03
110,0.03
111,0.09
114,0.03
115,0.06
117,0.06
118,0.03
121,0.03
123,0.03
124,0.03
127,0.03
128,0.06
130,0.03
132,0.03
133,0.03
134,0.03
135,0.03
136,0.09
139,0.03
141,0.03
142,0.03
143,0.03
144,0.03
145,0.03
147,0.03
148,0.03
149,0.03
150,0.03
152,0.03
153,0.03
154,0.03
155,0.03
156,0.03
157,0.03
158,0.03
159,0.06
161,0.06
163,0.03
164,0.09
166,0.03
168,0.03
171,0.03
172,0.03
174,0.03
175,0.06
177,0.03
178,0.06
179,0.03
181,0.03
182,0.03
184,0.06
185,0.03
187,0.03
188,0.03
189,0.06
190,0.03
192,0.06
194,0.06
196,0.09
199,0.06
200,0.03
201,0.06
202,0.03
204,0.06
206,0.06
207,0.03
208,0.06
211,0.03
212,0.06
215,0.03
217,0.03
218,0.03
219,0.06
221,0.03
222,0.03
223,0.03
225,0.03
228,0.03
229,0.06
231,0.03
234,0.03
236,0.03
237,0.03
239,0.03
242,0.12
244,0.09
246,0.06
248,0.03
249,0.03
250,0.03
251,0.03
254,0.06
256,0.06
257,0.06
259,0.06
260,0.03
262,0.09
265,0.03
267,0.03
269,0.03
270,0.06
271,0.03
272,0.03
274,0.03
275,0.06
278,0.06
281,0.06
282,0.03
284,0.03
286,0.06
289,0.06
293,0.09
294,0.06
295,0.06
298,0.06
301,0.06
302,0.03
303,0.03
305,0.03
306,0.03
307,0.03
308,0.03
309,0.09
311,0.03
312,0.03
315,0.03
316,0.03
317,0.03
318,0.03
320,0.03
322,0.09
324,0.09
326,0.03
327,0.03
328,0.09
330,0.15
332,0.03
335,0.06
336,0.12
338,0.09
339,0.03
340,0.03
342,0.03
343,0.03
344,0.03
345,0.03
346,0.03
347,0.03
348,0.03
349,0.06
351,0.03
353,0.03
354,0.06
355,0.03
356,0.03
357,0.03
359,0.06
360,0.03
361,0.12
363,0.03
364,0.03
365,0.03
367,0.03
370,0.03
371,0.09
373,0.06
375,0.03
376,0.03
377,0.03
378,0.09
379,0.09
380,0.03
381,0.03
384,0.03
385,0.03
386,0.03
387,0.03
388,0.03
389,0.03
390,0.03
391,0.09
392,0.03
393,0.06
394,0.06
395,0.06
396,0.06
397,0.06
398,0.03
400,0.03
402,0.03
403,0.03
404,0.06
405,0.06
407,0.03
408,0.03
410,0.03
411,0.03
412,0.03
413,0.03
414,0.12
417,0.09
419,0.03
421,0.06
423,0.06
424,0.06
426,0.03
427,0.03
428,0.09
430,0.06
433,0.03
434,0.09
436,0.06
439,0.06
441,0.03
443,0.06
445,0.06
446,0.03
447,0.03
448,0.03
449,0.03
450,0.03
451,0.03
453,0.03
454,0.06
455,0.06
456,0.03
457,0.03
458,0.03
459,0.06
460,0.03
461,0.09
463,0.06
464,0.06
465,0.03
466,0.06
468,0.03
469,0.06
471,0.03
472,0.03
473,0.03
474,0.03
475,0.09
477,0.03
478,0.03
479,0.12
481,0.06
482,0.06
484,0.03
485,0.03
486,0.06
487,0.03
488,0.09
490,0.03
491,0.06
492,0.03
493,0.12
496,0.06
498,0.03
499,0.03
500,0.06
501,0.06
504,0.03
505,0.03
506,0.03
507,0.03
508,0.03
509,0.03
510,0.03
511,0.03
512,0.03
513,0.03
514,0.03
515,0.03
516,0.03
517,0.03
518,0.03
519,0.03
520,0.03
521,0.03
522,0.06
523,0.06
527,0.09
528,0.06
530,0.03
531,0.06
534,0.03
535,0.03
536,0.03
537,0.03
538,0.03
539,0.03
540,0.06
542,0.09
544,0.06
547,0.03
548,0.03
549,0.03
550,0.09
555,0.03
558,0.03
