OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1,1961,3,1,105.4,0.2535211267605634,0.0642465570263404,33
2,1941,3,1,154.52,0.2535211267605634,0.0643802647412755,33
3,1969,3,1,383.83,0.4647887323943662,0.0,33
4,1968,3,1,176.82,0.7605633802816901,0.0758791282256986,33
9,1960,3,1,152.38,0.2535211267605634,0.0548870169808798,33
10,1971,3,1,106.14,0.2535211267605634,0.0601016178633507,33
13,1973,6,1,206.4,0.2535211267605634,0.0584302714266613,33
14,1974,3,1,138.73,0.2535211267605634,0.0569594865623746,33
15,1975,3,1,176.0,0.2535211267605634,0.0557561171279582,33
17,1970,3,1,105.11,0.2535211267605634,0.0584302714266613,33
18,1975,9,1,135.85,0.7605633802816901,0.0879128225698622,33
20,1970,3,1,110.33,0.7605633802816901,0.0883139457146677,33
23,1971,3,1,45.78,0.0,0.0,33
26,1974,3,1,82.68,0.7605633802816901,0.0889156304318759,33
27,1976,6,1,91.77,0.7605633802816901,0.0888487765744083,33
29,1968,3,1,114.71,0.7605633802816901,0.088581361144538,33
31,1974,3,1,107.09,0.7605633802816901,0.0884476534296028,33
33,2016,9,1,545.82,0.7605633802816901,0.0901189998662922,33
34,1971,3,1,104.94,0.5211267605633803,0.073138120069528,33
36,1971,3,1,91.15,0.5070422535211268,0.0724695814948522,33
38,1971,3,1,128.43,0.5070422535211268,0.0730712662120604,33
40,1971,3,1,120.96,0.7605633802816901,0.0887150688594731,33
42,2006,3,1,388.52,0.7605633802816901,0.0578285867094531,33
43,1957,3,1,168.59,0.0,0.0536836475464634,33
45,1991,9,1,110.92,0.2535211267605634,0.3232384008557293,33
47,1971,3,1,141.13,0.2535211267605634,0.0719347506351116,33
48,2009,9,1,127.86,0.2535211267605634,0.0695280117662789,33
50,1976,12,1,244.66,0.2535211267605634,0.0695948656237464,33
53,1974,3,1,120.82,0.7605633802816901,0.0592325177162722,33
54,1973,3,1,111.91,0.7605633802816901,0.0601684717208182,33
55,1971,3,1,121.05,0.7605633802816901,0.0557561171279582,33
57,1978,6,1,234.22,0.0,0.0564915095601016,33
58,1997,3,1,257.54,0.0,0.055956678700361,33
60,1985,6,1,97.46,0.0,0.0558229709854258,33
61,2008,6,1,296.21,0.2535211267605634,0.0845032758390159,33
62,1971,3,1,290.2,0.2535211267605634,0.0679235191870571,33
63,1971,3,1,268.43,0.2535211267605634,0.0669207113250434,33
64,1986,3,1,269.33,0.2535211267605634,0.0663858804653028,33
65,1961,3,1,114.29,0.2535211267605634,0.0679235191870571,33
66,1969,12,1,58.03,0.2535211267605634,0.0688594731916031,33
68,1974,3,1,63.39,0.5070422535211268,0.0539510629763337,33
69,1975,3,1,28.93,0.5070422535211268,0.0539510629763337,33
70,1961,9,1,42.58,0.5070422535211268,0.0538842091188661,33
72,1971,6,1,143.0,0.5070422535211268,0.0536836475464634,33
75,1961,3,1,42.95,0.5070422535211268,0.0779515978071934,33
76,1987,6,1,170.49,0.5070422535211268,0.0560903864152961,33
80,1987,3,1,200.92,0.5070422535211268,0.0538842091188661,33
81,1995,6,1,445.34,0.8450704225352113,0.1478138788608102,33
84,1971,3,1,87.57,0.0,0.0331595133039176,33
87,2003,6,1,329.24,0.8732394366197183,0.2922850648482417,33
90,2007,6,1,379.42,0.0,0.1952132638053215,33
91,2000,3,1,197.9,0.7746478873239436,0.0692605963364086,33
92,1965,3,1,167.04,1.0,0.0673886883273164,33
94,1965,3,1,128.57,1.0,0.0672549806123813,33
95,1970,6,1,130.5,1.0,0.0671212728974461,33
102,1993,9,1,178.82,0.3661971830985915,0.1020189864955207,33
104,1969,3,1,188.36,0.3661971830985915,0.1017515710656504,33
106,1990,3,1,212.52,0.3661971830985915,0.1578419574809466,33
108,1970,3,1,147.1,0.5070422535211268,0.2175424521994919,33
110,1972,3,1,182.23,0.5070422535211268,0.2829255248027811,33
111,1970,9,1,158.79,0.5070422535211268,0.3503810669875651,33
114,1960,3,1,159.58,0.7746478873239436,0.069193742478941,33
115,1981,6,1,127.22,0.7605633802816901,0.0690600347640058,33
117,1970,6,1,168.3,0.7605633802816901,0.0687926193341355,33
118,1970,3,1,154.14,0.7746478873239436,0.0685920577617328,33
121,1960,3,1,159.16,0.7605633802816901,0.0683914961893301,33
123,1985,3,1,169.9,1.0,0.0655836341756919,33
124,2003,3,1,287.01,1.0,0.0671212728974461,33
127,1980,3,1,302.52,0.8732394366197183,0.1015510094932477,33
128,1988,6,1,138.42,0.2535211267605634,0.066519588180238,33
130,2003,3,1,315.43,0.2535211267605634,0.0663858804653028,33
132,1986,3,1,204.88,0.5070422535211268,0.0552212862682176,33
133,1973,3,1,96.49,0.8732394366197183,0.1015510094932477,33
134,1973,3,1,90.96,0.8732394366197183,0.1012167402059098,33
135,1963,3,1,105.48,0.5070422535211268,0.055956678700361,33
136,1960,9,1,182.52,0.8732394366197183,0.101350447920845,33
139,1980,3,1,96.25,0.9859154929577464,0.0454606230779515,33
141,2007,3,1,143.25,0.9859154929577464,0.0418505147747024,33
142,1967,3,1,100.33,0.9859154929577464,0.0411151223425591,33
143,1971,3,1,98.42,0.9859154929577464,0.0412488300574943,33
144,2006,3,1,139.26,0.9859154929577464,0.041449391629897,33
145,1965,3,1,64.46,0.9859154929577464,0.0415830993448321,33
147,1968,3,1,56.5,0.9859154929577464,0.0417168070597673,33
148,1969,3,1,146.15,0.9859154929577464,0.0356999598876855,33
149,1960,3,1,142.75,0.9859154929577464,0.0347640058831394,33
150,1969,3,1,156.24,0.9859154929577464,0.0342291750233988,33
152,1996,3,1,76.65,0.9859154929577464,0.0349645674555421,33
153,1969,3,1,63.28,0.9859154929577464,0.0342291750233988,33
154,1992,3,1,119.7,0.9859154929577464,0.0338280518785933,33
155,1969,3,1,49.98,0.9859154929577464,0.0332932210188527,33
156,1969,3,1,76.67,0.9859154929577464,0.0322904131568391,33
157,2007,3,1,118.33,0.9859154929577464,0.0310870437224227,33
158,2001,3,1,91.96,0.9859154929577464,0.0719347506351116,33
159,1970,6,1,160.43,0.9859154929577464,0.623412220885145,33
161,1982,6,1,92.45,0.9859154929577464,0.0330258055889824,33
163,1975,3,1,117.42,0.3661971830985915,0.0726032892097874,33
164,1982,9,1,86.55,0.9859154929577464,0.0316218745821633,33
166,1960,3,1,125.96,0.4366197183098591,0.1109105495387083,33
168,1970,3,1,124.48,0.4647887323943662,0.3161518919641663,33
171,1971,3,1,111.63,0.4788732394366197,0.2244952533761197,33
172,1997,3,1,205.71,0.4788732394366197,0.0671212728974461,33
174,1969,3,1,145.8,0.4929577464788732,0.066987565182511,33
175,1981,6,1,174.98,0.4929577464788732,0.0671881267549137,33
177,1981,3,1,159.79,0.4929577464788732,0.0673886883273164,33
178,2003,6,1,184.24,0.4929577464788732,0.0671212728974461,33
179,1969,3,1,166.24,0.4929577464788732,0.0659179034630298,33
181,1979,3,1,109.04,0.4929577464788732,0.0651825110308864,33
182,2005,3,1,116.41,0.4929577464788732,0.0653830726032892,33
184,2008,6,1,199.69,0.4929577464788732,0.0718010429201764,33
185,1969,3,1,114.38,0.4929577464788732,0.0668538574675758,33
187,1981,3,1,203.11,0.4929577464788732,0.0661184650354325,33
188,1992,3,1,123.99,0.4929577464788732,0.0641797031688728,33
189,1998,6,1,334.58,0.7323943661971831,0.0679903730445246,33
190,1998,3,1,128.18,0.9859154929577464,0.0446583767883406,33
192,2006,6,1,98.14,0.4929577464788732,0.065717341890627,33
194,2007,6,1,299.84,0.3661971830985915,0.0720684583500467,33
196,2010,9,1,265.99,0.4929577464788732,0.137919507955609,33
199,1971,6,1,145.03,0.9859154929577464,0.0527476935419173,33
200,1983,3,1,157.88,0.9859154929577464,0.0506752239604225,33
201,1968,6,1,196.66,0.9859154929577464,0.0512769086776307,33
202,2006,3,1,201.58,0.9859154929577464,0.0516111779649685,33
204,2012,6,1,326.43,0.9859154929577464,0.0527476935419173,33
206,1965,6,1,118.59,0.9859154929577464,0.0521460088247091,33
207,1999,3,1,238.42,0.9859154929577464,0.0510763471052279,33
208,1963,6,1,175.2,1.0,0.0513437625350982,33
211,1961,3,1,309.19,0.9859154929577464,0.0523465703971119,33
212,1976,6,1,209.13,0.9859154929577464,0.0533493782591255,33
215,1965,3,1,130.41,0.2253521126760563,0.0837678834068725,33
217,1978,3,1,121.43,0.4788732394366197,0.0314881668672282,33
218,1971,3,1,117.2,0.4788732394366197,0.0401791683380131,33
219,2005,6,1,89.14,0.4788732394366197,0.0415162454873646,33
221,1969,3,1,123.67,0.4788732394366197,0.0411151223425591,33
222,2005,3,1,100.55,0.4788732394366197,0.0407808530552212,33
223,1968,3,1,73.47,0.4788732394366197,0.0409145607701564,33
225,1960,3,1,126.68,0.4929577464788732,0.0429870303516512,33
228,1977,3,1,160.08,0.4788732394366197,0.0456611846503543,33
229,2006,6,1,100.87,0.4788732394366197,0.0465302847974328,33
231,1977,3,1,242.92,0.7323943661971831,0.0648482417435486,33
234,1909,3,1,106.73,0.4929577464788732,0.0416499532022997,33
236,1995,3,1,152.84,0.9859154929577464,0.0506083701029549,33
237,2007,3,1,80.47,0.4788732394366197,0.0338280518785933,33
239,2005,3,1,230.6,0.4788732394366197,0.0343628827383339,33
242,2011,12,1,292.3,0.2394366197183098,0.0828319294023265,33
244,2024,9,1,9.85,0.9859154929577464,0.0514106163925658,33
246,1996,6,1,324.23,0.9859154929577464,0.0522797165396443,33
248,1982,3,1,440.8,0.9154929577464788,0.0686589116192004,33
249,1993,3,1,220.22,0.4929577464788732,0.0595667870036101,33
250,1959,3,1,76.13,0.4929577464788732,0.0583634175691937,33
251,1968,3,1,138.84,0.4929577464788732,0.0570263404198422,33
254,1975,6,1,105.69,0.9154929577464788,0.0681909346169273,33
256,2005,6,1,460.57,0.7464788732394366,0.1017515710656504,33
257,1959,6,1,162.91,0.4929577464788732,0.0577617328519855,33
259,2004,6,1,457.38,1.0,0.0655167803182243,33
260,2002,3,1,269.65,0.8450704225352113,0.1386549003877523,33
262,2016,9,1,251.88,1.0,0.0613718411552346,33
265,2001,3,1,120.03,0.9859154929577464,0.0601684717208182,33
267,1974,3,1,160.97,1.0,0.0567589249899719,33
269,1971,3,1,170.8,1.0,0.0588982484289343,33
270,1998,6,1,259.78,0.2253521126760563,0.0656504880331595,33
271,1978,3,1,120.04,0.4788732394366197,0.0534162321165931,33
272,1971,3,1,133.05,0.4929577464788732,0.0511432009626955,33
274,2006,3,1,461.72,0.4788732394366197,0.0512769086776307,33
275,1971,6,1,120.82,0.4788732394366197,0.0518785933948388,33
278,1972,6,1,119.57,0.4788732394366197,0.0527476935419173,33
281,2009,6,1,129.07,0.4788732394366197,0.0528145473993849,33
282,1974,3,1,109.68,0.4788732394366197,0.0524134242545794,33
284,1971,3,1,97.65,0.4788732394366197,0.0521460088247091,33
286,1971,6,1,192.94,0.4788732394366197,0.051544324107501,33
289,2000,6,1,143.26,0.4788732394366197,0.0508089316753576,33
293,2022,9,1,956.92,0.7323943661971831,0.0651156571734189,33
294,1996,6,1,153.36,1.0,0.062575210589651,33
295,1989,6,1,98.78,0.9859154929577464,0.0637785800240673,33
298,2023,6,1,134.86,0.9859154929577464,0.0641797031688728,33
301,2002,6,1,538.95,0.8873239436619719,0.1578419574809466,33
302,2003,3,1,145.19,0.9859154929577464,0.0666532958951731,33
303,2003,3,1,141.96,0.9859154929577464,0.0648482417435486,33
305,1970,3,1,101.69,0.4929577464788732,0.0535499398315282,33
306,1977,3,1,126.89,0.5070422535211268,0.0528814012568525,33
307,1990,3,1,188.46,0.5070422535211268,0.0536167936889958,33
308,1978,3,1,170.59,0.4929577464788732,0.0528814012568525,33
309,1995,9,1,81.79,0.9859154929577464,0.0637785800240673,33
311,1978,3,1,103.68,0.4929577464788732,0.0545527476935419,33
312,2000,3,1,736.68,0.9859154929577464,0.0617061104425725,33
315,2001,3,1,269.14,0.9859154929577464,0.0631100414493916,33
316,2003,3,1,82.12,0.4929577464788732,0.05294825511432,33
317,2003,3,1,83.18,0.4929577464788732,0.05294825511432,33
318,2005,3,1,71.72,0.9859154929577464,0.0658510496055622,33
320,2005,3,1,71.45,0.9859154929577464,0.0651825110308864,33
322,2020,9,1,79.81,0.9859154929577464,0.0643802647412755,33
324,2021,9,1,79.21,0.9859154929577464,0.0641797031688728,33
326,1968,3,1,116.36,0.2535211267605634,0.0594330792886749,33
327,1971,3,1,163.03,0.0422535211267605,0.1755582297098542,33
328,2010,9,1,362.79,0.4788732394366197,0.0617729643000401,33
330,2007,15,1,457.65,0.4788732394366197,0.0634443107367295,33
332,2004,3,1,2594.77,0.8732394366197183,0.2499665730712661,33
335,2005,6,1,152.05,0.2394366197183098,0.0563578018451664,33
336,2005,12,1,75.61,0.028169014084507,0.0786869902393368,33
338,1956,9,1,36.32,0.028169014084507,0.0785532825244016,33
339,1953,3,1,68.72,0.028169014084507,0.078018451664661,33
340,1951,3,1,98.83,0.028169014084507,0.0778178900922583,33
342,1953,3,1,98.08,0.028169014084507,0.0777510362347907,33
343,1955,3,1,82.27,0.028169014084507,0.077550474662388,33
344,1956,3,1,79.69,0.4507042253521127,0.122944243882872,33
345,1960,3,1,91.78,0.028169014084507,0.0772162053750501,33
346,1975,3,1,46.13,0.028169014084507,0.0770156438026474,33
347,1975,3,1,30.8,0.028169014084507,0.0768819360877122,33
