OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
116,1984,3,9.0,122.64
313,2006,3,9.0,730.51
333,2004,3,9.0,2338.13
425,1990,3,9.0,111.01
590,2006,3,9.0,226.19
888,1992,3,9.0,93.81
1422,1986,6,9.0,200.48
1451,2010,3,9.0,467.91
1455,2000,3,9.0,14195.93
1458,1992,3,9.0,1448.9
1459,1953,3,9.0,12091.06
1685,2000,3,9.0,
2505,2004,3,9.0,150.0
2816,2006,3,9.0,95.36
3116,2004,3,9.0,208.67
3477,2004,3,9.0,73.14
3481,2004,3,9.0,73.12
3484,2004,3,9.0,73.07
3487,2004,3,9.0,84.19
3490,2004,3,9.0,15.04
3493,2004,3,9.0,16.8
3496,2004,3,9.0,84.28
3836,2003,3,9.0,
3838,2005,3,9.0,
4454,2003,3,9.0,137.06
4515,2006,3,9.0,26.41
4797,1992,3,9.0,245.27
5025,1992,9,9.0,720.42
5125,1960,3,9.0,40.59
5737,1960,3,9.0,117.9
5810,1955,3,9.0,111.62
5971,1999,3,9.0,936.29
6131,1900,3,9.0,238.97
6504,1968,3,9.0,128.92
6506,1971,3,9.0,104.1
6553,1957,3,9.0,59.28
6735,1992,3,9.0,258.05
7052,1965,3,9.0,16.14
7213,1966,3,9.0,143.83
7339,1993,3,9.0,591.13
7751,1979,3,9.0,159.05
7924,1975,3,9.0,938.24
8027,1999,3,9.0,245.06
8353,1995,3,9.0,319.02
8428,1995,3,9.0,116.09
8480,1950,3,9.0,76.8
8862,1963,3,9.0,98.33
9028,1978,3,9.0,134.88
9107,1915,3,9.0,75.86
9368,1970,3,9.0,189.13
9511,1968,3,9.0,75.13
9793,1993,3,9.0,111.02
9891,2001,3,9.0,241.42
9942,1969,3,9.0,103.91
10223,1928,3,9.0,81.2
10536,1960,3,9.0,80.05
11287,1997,3,9.0,274.2
11360,1963,6,9.0,169.06
11617,2007,12,9.0,592.78
11710,2004,3,9.0,82.25
11936,2003,3,9.0,205.99
11977,1976,3,9.0,123.73
12102,2006,3,9.0,79.49
12222,2002,3,9.0,23.86
12416,2000,3,9.0,312.97
12649,2003,3,9.0,480.41
12981,1975,3,9.0,1093.53
13126,1975,3,9.0,1036.74
13137,2015,3,9.0,7023.35
13186,1994,3,9.0,123.78
13675,1992,3,9.0,
13750,1951,3,9.0,52.88
13764,1978,6,9.0,610.03
13986,1978,3,9.0,342.94
14131,1936,3,9.0,67.65
14465,1997,3,9.0,305.1
14569,1991,9,9.0,745.68
14738,1996,3,9.0,483.16
14853,1994,3,9.0,157.19
15023,2008,21,9.0,2264.24
15040,1996,3,9.0,502.56
15044,1981,3,9.0,517.28
15234,1962,3,9.0,107.02
15244,1976,21,9.0,218.69
15269,1982,18,9.0,746.77
15271,1980,3,9.0,2590.04
15451,1987,3,9.0,356.7
15497,2004,3,9.0,399.29
15548,1963,3,9.0,77.8
15698,1970,3,9.0,81.33
15870,1953,3,9.0,2243.42
15906,1977,15,9.0,298.54
15987,1968,3,9.0,89.18
16051,1999,3,9.0,17.44
17897,2006,3,9.0,83.56
17925,1996,3,9.0,5.24
18646,2003,3,9.0,
18811,1970,3,9.0,156.12
18812,1999,3,9.0,352.95
19261,1900,3,9.0,820.16
19469,1900,9,9.0,175.31
19517,2009,6,9.0,1730.41
19685,1990,3,9.0,107.14
19916,1946,3,9.0,68.54
19917,1974,3,9.0,323.17
20096,2005,6,9.0,131.98
20105,2000,3,9.0,88.43
20267,1940,3,9.0,220.09
20398,1997,3,9.0,548.42
20703,1994,3,9.0,264.75
20756,1994,21,9.0,797.82
21134,1936,3,9.0,97.88
21826,1940,3,9.0,135.49
22245,1970,3,9.0,549.06
22300,1997,3,9.0,
22303,1997,3,9.0,
22309,1976,3,9.0,442.29
22351,1936,3,9.0,51.18
22371,1900,3,9.0,1140.44
22511,1936,3,9.0,3.46
22898,1978,3,9.0,151.32
23084,1895,3,9.0,66.52
23227,1974,3,9.0,1393.1
23246,1880,3,9.0,136.6
23259,2000,9,9.0,1286.37
23260,1999,3,9.0,677.74
23261,1999,15,9.0,1553.84
23275,2000,3,9.0,
23339,2002,3,9.0,318.44
23478,1996,3,9.0,146.88
23531,1966,3,9.0,419.58
23557,1997,3,9.0,459.3
23613,2006,3,9.0,
23781,1959,3,9.0,98.0
24243,1890,3,9.0,21.38
24471,2002,3,9.0,293.75
24630,1995,3,9.0,157.55
24653,1940,3,9.0,72.31
24781,1966,3,9.0,
24916,1999,3,9.0,2627.74
25325,2001,3,9.0,1540.67
25339,2006,6,9.0,1208.14
25354,1994,3,9.0,1164.26
25654,1973,3,9.0,1062.91
25658,1981,3,9.0,378.7
25779,1946,3,9.0,484.96
25966,1961,3,9.0,132.65
26412,1954,3,9.0,55.06
26770,1975,3,9.0,385.27
26864,1978,3,9.0,80.71
26880,1994,3,9.0,119.85
26883,1941,3,9.0,69.1
27300,1987,3,9.0,257.31
27999,1976,3,9.0,159.16
28190,1994,3,9.0,67.83
28583,1996,3,9.0,220.39
28670,2004,6,9.0,143.53
28671,1996,3,9.0,242.29
28702,1988,3,9.0,109.67
28704,1978,3,9.0,137.1
28757,1994,3,9.0,801.42
28851,2000,3,9.0,173.98
29207,1989,3,9.0,113.54
29740,1975,3,9.0,409.54
30157,1975,3,9.0,355.69
30249,1948,3,9.0,99.02
30365,1950,3,9.0,94.04
30505,1983,3,9.0,92.92
30594,2002,3,9.0,397.83
30684,1976,3,9.0,395.28
31215,2006,6,9.0,742.34
31269,2017,3,9.0,
31426,1968,3,9.0,141.72
31449,1995,3,9.0,420.78
31450,1995,3,9.0,470.17
31539,1990,3,9.0,245.18
31620,1977,3,9.0,74.66
31692,1953,3,9.0,132.71
31813,2004,3,9.0,196.43
31875,2004,6,9.0,1658.58
32258,1972,3,9.0,104.16
32388,1991,3,9.0,1499.96
32392,1998,3,9.0,1029.63
33126,2008,6,9.0,
33129,2008,3,9.0,1857.31
33137,2018,3,9.0,
33266,2005,3,9.0,130.08
33422,1970,3,9.0,232.66
34318,1964,3,9.0,183.16
34747,1960,3,9.0,88.54
34779,1958,3,9.0,178.25
35483,1996,3,9.0,848.21
35666,2008,3,9.0,2000.78
35700,2001,3,9.0,2299.42
35725,1956,3,9.0,135.13
35750,1956,3,9.0,138.1
35756,2012,3,9.0,127.74
35767,2001,3,9.0,458.89
35769,2001,3,9.0,486.91
35872,1965,3,9.0,57.79
35962,1992,3,9.0,1175.62
36200,1991,3,9.0,
36218,1989,3,9.0,
36256,1999,3,9.0,
36657,1997,3,9.0,606.39
36800,1998,3,9.0,201.27
36961,2012,3,9.0,1107.06
37146,1996,3,9.0,197.8
37361,2011,3,9.0,
37562,2010,3,9.0,569.99
