OBJECTID,HEIGHT_norm
49,0.03
83,0.03
86,0.03
89,0.03
98,0.03
101,0.03
105,0.03
129,0.03
165,0.03
167,0.03
193,0.03
230,0.03
331,0.03
369,0.03
437,0.03
438,0.03
442,0.03
495,0.03
632,0.06
708,0.03
833,0.03
886,0.03
911,0.03
939,0.03
945,0.03
975,0.03
981,0.03
985,0.03
1120,0.03
1133,0.03
1176,0.06
1179,0.03
1182,0.03
1185,0.06
1195,0.03
1197,0.03
1199,0.03
1201,0.03
1203,0.03
1231,0.03
1417,0.03
1423,0.03
1460,0.06
1463,0.09
1466,0.09
1640,0.03
1674,0.03
1678,0.03
1680,0.03
1989,0.03
1994,0.03
2651,0.03
3098,0.03
3996,0.06
4106,0.03
4271,0.03
4311,0.03
4322,0.03
4324,0.03
4347,0.03
4373,0.03
4518,0.03
4562,0.03
4605,0.03
4613,0.03
4692,0.03
4722,0.03
4809,0.03
4812,0.03
4856,0.03
4859,0.03
4867,0.03
4889,0.03
4998,0.03
5015,0.03
5023,0.03
5070,0.03
5079,0.03
5100,0.03
5123,0.03
5164,0.03
5166,0.03
5209,0.03
5293,0.03
5315,0.03
5389,0.03
5392,0.03
5404,0.03
5411,0.03
5432,0.03
5438,0.03
5446,0.03
5463,0.03
5512,0.03
5515,0.03
5625,0.03
5639,0.03
5710,0.03
5766,0.03
5822,0.03
5826,0.03
5835,0.03
5839,0.03
5845,0.03
5849,0.03
5859,0.03
5865,0.03
5895,0.03
5977,0.03
5982,0.03
6170,0.03
6179,0.03
6202,0.03
6215,0.03
6234,0.03
6239,0.03
6272,0.03
6290,0.03
6297,0.03
6326,0.03
6337,0.03
6369,0.03
6374,0.03
6432,0.03
6433,0.03
6437,0.03
6460,0.03
6478,0.03
6485,0.03
6487,0.03
6493,0.03
6507,0.03
6539,0.03
6549,0.03
6606,0.03
6653,0.03
6731,0.03
6734,0.03
6758,0.03
6773,0.03
6777,0.03
6831,0.03
6838,0.03
6845,0.03
6966,0.03
7043,0.03
7091,0.03
7324,0.03
7327,0.03
7329,0.03
7338,0.03
7340,0.03
7378,0.03
7380,0.03
7418,0.03
7420,0.03
7423,0.03
7434,0.03
7454,0.03
7463,0.03
7469,0.03
