OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type
49,1976,3,5,0.2535211267605634,0.0695948656237464,11
83,1971,3,5,0.0,0.0331595133039176,11
86,2003,3,5,0.8732394366197183,0.2922850648482417,11
89,2007,3,5,0.0,0.1952132638053215,11
98,1969,3,5,1.0,0.0670544190399786,11
101,1993,3,5,0.3661971830985915,0.1020189864955207,11
105,1968,3,5,0.3661971830985915,0.1578419574809466,65
129,2003,3,5,0.2535211267605634,0.0663858804653028,11
165,1960,3,5,0.4366197183098591,0.1109105495387083,11
167,1970,3,5,0.4647887323943662,0.3161518919641663,72
193,2007,3,5,0.3661971830985915,0.0720684583500467,11
230,1977,3,5,0.7323943661971831,0.0648482417435486,65
331,2004,3,5,0.8732394366197183,0.2499665730712661,11
369,1957,3,5,0.9577464788732394,0.080224628961091,11
437,1987,3,5,0.2816901408450704,0.1270891830458617,11
438,1960,3,5,0.4084507042253521,0.1775638454338815,65
442,2000,3,5,0.8591549295774648,0.0810268752507019,11
495,1994,3,5,0.352112676056338,0.0824976601149886,11
632,1973,6,5,0.0985915492957746,0.6064981949458483,11
708,1987,3,5,0.0,0.056892632704907,11
833,1979,3,5,0.2535211267605634,0.0562240941302313,11
886,1992,3,5,0.9577464788732394,0.1139189731247492,11
911,1975,3,5,0.4507042253521127,0.0785532825244016,11
939,1991,3,5,0.7323943661971831,0.0472656772295761,11
945,1978,3,5,0.8591549295774648,0.1972857333868164,11
975,2004,3,5,0.5352112676056338,0.3236395240005348,11
981,2006,3,5,0.7887323943661971,0.1403262468244417,11
985,2002,3,5,0.7887323943661971,0.272696884610242,11
1120,1987,3,5,0.5211267605633803,0.3854793421580424,11
1133,1963,3,5,0.7605633802816901,0.0270758122743682,11
1176,2009,6,5,0.7887323943661971,0.4901724829522663,11
1179,2009,3,5,0.7323943661971831,0.0,11
1182,2009,3,5,0.7183098591549296,0.0,11
1185,2011,6,5,0.4929577464788732,0.1764941837144003,11
1195,1960,3,5,0.7464788732394366,0.2218210990774167,11
1197,1960,3,5,1.0,0.241008156170611,11
1199,1960,3,5,0.4929577464788732,0.3233721085706645,11
1201,1960,3,5,0.4929577464788732,0.0728707046396577,11
1203,1960,3,5,0.7746478873239436,0.1605829656371172,11
1231,1960,3,5,0.4929577464788732,0.4905736060970717,11
1417,1985,3,5,0.0140845070422535,0.4201096403262468,65
1423,1993,3,5,0.7746478873239436,0.130832999064046,11
1460,2010,6,5,0.7887323943661971,0.0,11
1463,2012,9,5,0.0422535211267605,0.0,11
1466,2012,9,5,0.0704225352112676,0.0,11
1640,1997,3,5,0.7746478873239436,0.0470651156571734,65
1674,1972,3,5,0.9859154929577464,0.8643535231982884,11
1678,1985,3,5,0.5492957746478874,0.0737398047867361,11
1680,2002,3,5,0.6338028169014085,0.5526139858269822,11
1989,1986,3,5,0.7605633802816901,0.2873378793956411,11
1994,1983,3,5,0.0422535211267605,0.0722690199224495,11
2651,1983,3,5,0.5352112676056338,0.4486562374649017,11
3098,1984,3,5,0.4366197183098591,0.8236395240005348,11
3996,2015,6,5,0.2816901408450704,0.0837678834068725,11
4106,1979,3,5,0.3098591549295774,0.2046396577082497,11
4271,1970,3,5,0.028169014084507,0.0826982216873913,11
4311,1990,3,5,0.2816901408450704,0.0802914828185586,11
4322,2000,3,5,0.9154929577464788,0.1587110576280251,11
4324,1965,3,5,0.2816901408450704,0.0791549672416098,11
4347,2001,3,5,0.2957746478873239,0.0824976601149886,11
4373,2002,3,5,0.3661971830985915,0.0,11
4518,1960,3,5,0.028169014084507,0.0,11
4562,1999,3,5,0.2816901408450704,0.3493782591255515,11
