OBJECTID,HEIGHT_norm
5,3
1092,3
1272,9
1453,3
1671,3
2492,3
4513,6
4891,3
5153,3
5697,9
6158,3
6483,3
6498,3
6499,3
6647,3
6760,6
6797,3
7552,3
7571,3
7616,3
7617,9
8375,3
8404,3
9395,6
10410,3
10473,6
10512,3
10573,3
10574,3
11053,3
11358,9
11573,3
11597,6
11668,3
11798,3
11799,3
11800,3
12641,9
13183,3
14476,15
15235,3
15339,3
16170,6
16172,3
16364,3
16566,15
16731,9
16786,3
16916,6
17256,9
17355,3
17777,6
17807,3
18326,12
18346,3
18575,3
18577,3
18631,12
18813,3
19022,3
19149,3
19295,15
19299,3
19312,3
19366,6
19421,6
19445,3
19450,3
19865,3
19985,6
19997,9
20155,9
20335,3
20527,3
20653,12
20800,3
20819,12
21028,6
21657,3
21803,3
21988,12
22123,9
22140,9
22142,3
22268,6
22270,6
22276,3
22293,3
22330,9
22357,6
22359,3
22499,3
22626,9
22665,3
22746,3
23014,3
23048,3
23304,3
23307,3
23658,3
23666,3
23741,3
24143,3
24229,3
24376,3
24670,3
24901,6
24914,3
24915,12
24942,9
25333,6
25336,6
25349,9
25353,3
25355,12
25357,3
25531,15
25900,3
26061,12
26379,3
26617,6
26619,3
26692,3
26693,6
26695,3
26698,3
27696,3
27782,3
27889,3
27913,3
27914,3
27915,3
28033,9
28247,3
28810,3
29103,3
29108,9
29318,3
29928,3
29982,6
29999,3
30002,3
30181,12
30184,3
30187,6
30346,3
30357,3
30776,6
30901,9
31211,3
31212,9
31447,3
31448,3
31508,3
31674,9
32197,3
32985,12
33058,3
33118,3
33119,12
33120,3
33123,12
34311,3
34456,9
35044,3
35271,3
35277,3
35305,9
35307,6
35468,3
35594,3
35921,3
35957,3
36759,3
37619,9
