OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
5,1976,3,4.0,1714.82
1092,1991,3,4.0,231.43
1272,1999,9,4.0,2713.39
1453,1977,3,4.0,3501.34
1671,1980,3,4.0,357.79
2492,1985,3,4.0,1187.35
4513,2006,6,4.0,1934.07
4891,2008,3,4.0,713.06
5153,1964,3,4.0,4737.46
5697,2010,9,4.0,2291.87
6158,1960,3,4.0,1413.25
6483,1960,3,4.0,170.26
6498,1960,3,4.0,1347.1
6499,1960,3,4.0,1638.39
6647,1983,3,4.0,2125.58
6760,2005,6,4.0,1089.24
6797,1960,3,4.0,180.34
7552,1991,3,4.0,145.2
7571,2005,3,4.0,181.38
7616,1960,3,4.0,270.76
7617,1988,9,4.0,645.2
8375,1936,3,4.0,324.95
8404,1956,3,4.0,194.6
9395,1959,6,4.0,430.96
10410,1890,3,4.0,956.3
10473,1960,6,4.0,365.04
10512,1957,3,4.0,637.96
10573,1996,3,4.0,1359.96
10574,2003,3,4.0,122.76
11053,1970,3,4.0,439.31
11358,1963,9,4.0,191.08
11573,1900,3,4.0,988.95
11597,1956,6,4.0,486.13
11668,1970,3,4.0,194.66
11798,1965,3,4.0,3313.58
11799,2006,3,4.0,558.53
11800,1965,3,4.0,1553.86
12641,1986,9,4.0,1818.83
13183,1961,3,4.0,1950.23
14476,2012,15,4.0,1710.96
15235,1954,3,4.0,246.25
15339,1984,3,4.0,16123.13
16170,1949,6,4.0,778.76
16172,1935,3,4.0,168.72
16364,1958,3,4.0,1465.78
16566,2009,15,4.0,2799.72
16731,1942,9,4.0,81.32
16786,1900,3,4.0,1163.67
16916,1898,6,4.0,1966.81
17256,2000,9,4.0,2574.78
17355,1950,3,4.0,504.58
17777,1955,6,4.0,100.16
17807,1903,3,4.0,2000.14
18326,1999,12,4.0,2757.16
18346,1969,3,4.0,194.87
18575,2006,3,4.0,2149.49
18577,2007,3,4.0,432.24
18631,2022,12,4.0,2601.37
18813,1978,3,4.0,937.03
19022,1880,3,4.0,250.43
19149,1940,3,4.0,291.03
19295,1947,15,4.0,907.48
19299,1947,3,4.0,798.66
19312,1947,3,4.0,166.13
19366,1947,6,4.0,535.05
19421,1927,6,4.0,569.53
19445,1930,3,4.0,362.7
19450,1900,3,4.0,1255.4
19865,1930,3,4.0,1026.45
19985,1900,6,4.0,797.78
19997,1900,9,4.0,168.45
20155,1929,9,4.0,1299.47
20335,1898,3,4.0,611.63
20527,2009,3,4.0,783.52
20653,2000,12,4.0,2949.85
20800,2008,3,4.0,1623.34
20819,2007,12,4.0,4416.68
21028,1947,6,4.0,209.13
21657,1950,3,4.0,756.02
21803,1975,3,4.0,633.77
21988,2007,12,4.0,1720.4
22123,1900,9,4.0,108.48
22140,2012,9,4.0,96.9
22142,1956,3,4.0,708.15
22268,2023,6,4.0,457.29
22270,2023,6,4.0,112.73
22276,1920,3,4.0,2229.01
22293,1900,3,4.0,1298.26
22330,1998,9,4.0,4773.38
22357,1940,6,4.0,297.36
22359,1962,3,4.0,268.82
22499,1880,3,4.0,188.29
22626,2007,9,4.0,805.47
22665,1960,3,4.0,163.06
22746,1945,3,4.0,93.02
23014,2011,3,4.0,5217.95
23048,1970,3,4.0,1371.12
23304,1959,3,4.0,193.86
23307,1971,3,4.0,289.62
23658,1968,3,4.0,1929.21
23666,2008,3,4.0,850.9
23741,1977,3,4.0,1633.56
24143,1948,3,4.0,425.57
24229,1880,3,4.0,779.02
24376,2003,3,4.0,604.24
24670,1962,3,4.0,125.21
24901,2012,6,4.0,392.96
24914,2003,3,4.0,1730.63
24915,2006,12,4.0,3503.49
24942,1900,9,4.0,816.2
25333,1998,6,4.0,2032.5
25336,1997,6,4.0,576.24
25349,1977,9,4.0,2731.75
25353,1977,3,4.0,1946.91
25355,1988,12,4.0,2927.63
25357,2002,3,4.0,508.91
25531,1962,15,4.0,1248.42
25900,1996,3,4.0,2062.43
26061,2012,12,4.0,464.27
26379,1925,3,4.0,142.77
26617,1950,6,4.0,803.02
26619,2009,3,4.0,1679.3
26692,1960,3,4.0,632.45
26693,2000,6,4.0,777.48
26695,1996,3,4.0,1306.45
26698,2012,3,4.0,798.43
27696,1980,3,4.0,472.6
27782,1997,3,4.0,6043.99
27889,1960,3,4.0,347.72
27913,1960,3,4.0,7899.57
27914,1996,3,4.0,1342.39
27915,1920,3,4.0,5321.39
28033,1992,9,4.0,2213.4
28247,1930,3,4.0,345.48
28810,1972,3,4.0,398.18
29103,2007,3,4.0,3480.12
29108,1963,9,4.0,2084.22
29318,2000,3,4.0,106.65
29928,1930,3,4.0,327.54
29982,1979,6,4.0,2019.3
29999,1997,3,4.0,174.33
30002,1992,3,4.0,1087.86
30181,1939,12,4.0,2733.31
30184,1939,3,4.0,342.2
30187,1939,6,4.0,444.23
30346,1950,3,4.0,119.08
30357,1998,3,4.0,81.24
30776,1989,6,4.0,1857.13
30901,1994,9,4.0,3497.67
31211,1977,3,4.0,1234.4
31212,1981,9,4.0,2918.3
31447,1970,3,4.0,244.5
31448,1970,3,4.0,333.19
31508,1981,3,4.0,1626.47
31674,1930,9,4.0,212.52
32197,1960,3,4.0,333.0
32985,1986,12,4.0,1134.97
33058,1965,3,4.0,2039.29
