OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1118,1982,6,7,1666.03,185.0,44.26,45
1449,2012,3,7,506.19,175.0,61.24,43
6840,2004,6,7,596.3,305.0,14.02,43
11488,1999,3,7,156.44,275.0,10.41,8
11520,1916,3,7,68.96,0.0,10.02,8
11523,1930,3,7,127.77,0.0,10.0,8
11806,1988,6,7,455.72,155.0,50.04,45
12908,1990,3,7,443.69,90.0,11.3,8
12941,1961,3,7,116.31,180.0,7.59,8
12945,1960,3,7,122.66,185.0,7.62,8
13671,1992,3,7,1695.95,345.0,16.08,46
13704,2021,3,7,466.25,165.0,18.14,45
14082,1946,3,7,190.45,95.0,24.99,8
16013,2000,3,7,209.39,250.0,27.85,8
16787,1896,9,7,288.23,165.0,6.99,14
16852,1900,6,7,82.98,155.0,2.93,8
17857,1927,3,7,271.64,75.0,6.52,14
18630,2022,6,7,1275.8,35.0,44.0,43
19420,1931,3,7,396.32,305.0,6.22,45
19448,1900,3,7,182.64,115.0,5.14,14
19600,2000,6,7,631.19,185.0,52.6,14
19698,1965,9,7,2049.81,225.0,51.22,8
21268,1918,9,7,189.88,325.0,41.93,14
21503,1995,3,7,649.05,350.0,40.06,43
23201,1960,3,7,4119.89,270.0,25.49,24
24126,2018,12,7,269.31,95.0,47.02,45
25358,2014,6,7,1079.03,75.0,65.25,45
26122,2009,3,7,1901.21,265.0,15.14,14
26315,1978,3,7,1715.3,255.0,12.06,45
27917,1960,3,7,289.86,340.0,26.28,45
27921,1962,3,7,280.17,230.0,112.66,8
27923,2007,3,7,366.13,305.0,19.79,45
28984,2003,3,7,417.66,250.0,16.22,8
30139,1992,3,7,515.6,165.0,16.53,8
30553,1989,3,7,1137.23,0.0,14.34,45
31850,1975,3,7,658.48,295.0,83.86,14
36529,1971,3,7,207.41,280.0,17.84,8
37627,2004,9,7,796.84,95.0,108.36,45
