OBJECTID,HEIGHT_norm
7,0.03
24,0.03
52,0.03
74,0.03
99,0.03
195,0.03
264,0.03
266,0.03
416,0.03
646,0.03
653,0.03
655,0.03
657,0.03
662,0.03
667,0.03
669,0.03
671,0.03
675,0.03
677,0.03
679,0.03
681,0.03
683,0.03
685,0.03
687,0.03
689,0.03
693,0.03
695,0.03
696,0.03
702,0.06
739,0.03
940,0.03
997,0.06
1166,0.03
1290,0.03
1681,0.06
2556,0.03
3708,0.03
4307,0.03
4893,0.03
4908,0.03
4935,0.03
4951,0.03
5191,0.06
5276,0.03
5694,0.03
5972,0.03
6137,0.03
6185,0.03
6195,0.03
6486,0.03
6501,0.03
6527,0.03
6618,0.03
6833,0.03
7343,0.03
7561,0.03
7568,0.03
7572,0.03
7580,0.03
7582,0.03
7590,0.03
7593,0.09
7594,0.03
7597,0.03
7687,0.03
7763,0.03
7764,0.03
7927,0.03
8023,0.03
8034,0.03
8394,0.03
8401,0.03
8579,0.03
8760,0.03
9155,0.03
9295,0.03
9397,0.03
9490,0.03
9585,0.03
9594,0.03
9618,0.06
9619,0.03
9620,0.03
9621,0.03
9622,0.03
9623,0.03
9624,0.03
9626,0.09
9627,0.03
9628,0.06
9629,0.06
9630,0.06
9631,0.03
9640,0.06
9641,0.15
9642,0.06
9643,0.06
9644,0.09
9645,0.06
9792,0.03
9900,0.03
9947,0.03
9964,0.03
9966,0.03
9972,0.03
10087,0.03
10187,0.03
10188,0.03
10189,0.03
10285,0.03
10495,0.03
10594,0.03
10612,0.03
10613,0.03
10614,0.03
10615,0.03
10616,0.03
10617,0.03
10618,0.12
10619,0.06
10621,0.06
10656,0.03
10911,0.03
11055,0.03
11095,0.03
11238,0.18
11577,0.03
11653,0.03
11766,0.03
12399,0.03
12411,0.03
12462,0.03
12574,0.03
12661,0.03
12925,0.03
12993,0.03
13049,0.03
13062,0.03
13360,0.03
13424,0.03
13608,0.03
13610,0.03
13681,0.03
13709,0.03
13965,0.09
14310,0.03
14311,0.06
14365,0.06
14367,0.03
14371,0.03
14574,0.03
15132,0.03
15137,0.03
15177,0.03
15351,0.03
15433,0.03
15453,0.03
15467,0.03
15472,0.03
15549,0.03
15746,0.03
15750,0.03
15753,0.03
15759,0.03
15762,0.03
15764,0.03
15765,0.03
