OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type
7,1993,3,3,0.0140845070422535,0.0539510629763337,34
24,1976,3,3,0.7605633802816901,0.0887819227169407,34
52,1993,3,3,0.7605633802816901,0.0554887016980879,34
74,1996,3,3,0.5211267605633803,0.1286268217676159,34
99,1994,3,3,0.3661971830985915,0.1014841556357801,34
195,1998,3,3,0.9859154929577464,0.0409145607701564,34
264,1990,3,3,1.0,0.0613718411552346,34
266,1996,3,3,0.9859154929577464,0.0576280251370504,34
416,1999,3,3,0.6056338028169014,0.1740874448455675,34
646,2005,3,3,0.1690140845070422,0.133039176360476,34
653,1991,3,3,0.1549295774647887,0.0,34
655,2007,3,3,0.676056338028169,0.0,34
657,1991,3,3,0.5492957746478874,0.0,34
662,1990,3,3,0.5492957746478874,0.0,34
667,1999,3,3,0.8028169014084507,0.0365022061772964,34
669,2001,3,3,0.1549295774647887,0.0,34
671,1998,3,3,0.7272981790740048,0.0,34
675,1993,3,3,0.2253521126760563,0.1181976200026741,34
677,1993,3,3,0.2394366197183098,0.1179970584302714,34
679,1993,3,3,0.2394366197183098,0.1178633507153362,34
681,1991,3,3,0.2112676056338028,0.1180639122877389,34
683,1990,3,3,0.1971830985915492,0.1171948121406605,34
685,1995,3,3,0.1971830985915492,0.1247492980344965,34
687,1995,3,3,0.1971830985915492,0.1174622275705308,34
689,1989,3,3,0.2535211267605634,0.2619334135579623,34
693,1997,3,3,0.2676056338028169,0.2335873779917101,34
695,2003,3,3,0.9295774647887324,0.3590052146008824,34
696,1994,3,3,0.2394366197183098,0.1138521192672817,34
702,1994,6,3,0.9577464788732394,0.0,34
739,1994,3,3,0.2394366197183098,0.1750233988501136,34
940,1995,3,3,0.7323943661971831,0.0471988233721085,34
997,1959,6,3,0.352112676056338,0.0604358871506885,34
1166,1989,3,3,0.6338028169014085,0.1327717609306057,34
1290,1966,3,3,0.2816901408450704,0.2054419039978606,34
1681,2001,6,3,0.6338028169014085,0.5526139858269822,34
2556,1983,3,3,0.2112676056338028,0.0684583500467976,34
3708,1970,3,3,0.6901408450704225,0.3879529348843428,34
4307,1997,3,3,0.5492957746478874,0.0821633908276507,34
