OBJECTID,HEIGHT_norm
28,0.03
633,0.03
716,0.03
932,0.06
976,0.03
982,0.03
1682,0.03
2009,0.03
3180,0.03
4354,0.03
4560,0.12
4835,0.09
4842,0.03
5836,0.03
6300,0.03
6377,0.06
6536,0.03
7397,0.03
7424,0.03
7738,0.03
8466,0.03
8795,0.03
10089,0.03
10166,0.03
10488,0.03
10862,0.03
11056,0.03
11367,0.03
11415,0.03
11598,0.03
11614,0.03
11671,0.03
12269,0.03
12796,0.03
12876,0.03
12931,0.03
13038,0.03
13056,0.03
13672,0.03
13678,0.03
13785,0.03
13844,0.03
13869,0.03
13874,0.03
13876,0.03
13884,0.06
13926,0.03
13936,0.03
13954,0.03
13996,0.03
14144,0.06
14253,0.03
14369,0.03
14404,0.03
14407,0.03
14451,0.03
15028,0.03
15159,0.12
15163,0.03
15165,0.03
15175,0.03
15248,0.03
15771,0.03
15903,0.03
15949,0.06
16024,0.03
16037,0.03
16040,0.03
16046,0.03
16222,0.03
16235,0.03
16482,0.03
16641,0.03
16791,0.09
16830,0.06
16847,0.03
16850,0.03
16868,0.03
16870,0.06
16873,0.03
16930,0.03
16970,0.03
16992,0.06
17006,0.03
17034,0.06
17187,0.03
17539,0.03
17955,0.03
17991,0.03
18007,0.03
18082,0.03
18355,0.03
19057,0.03
19232,0.03
19315,0.06
19370,0.12
19373,0.12
19400,0.03
19416,0.03
19433,0.03
19435,0.15
19449,0.03
19575,0.03
19619,0.03
19801,0.03
19986,0.09
20001,0.03
20031,0.03
20038,0.03
20204,0.12
20269,0.03
20280,0.03
20496,0.03
20500,0.03
20725,0.03
21272,0.09
23050,0.03
23589,0.03
23598,0.03
23662,0.03
23818,0.03
23849,0.03
23852,0.03
23924,0.03
24129,0.03
24144,0.03
24203,0.03
24288,0.03
24353,0.03
24479,0.03
24774,0.03
24902,0.03
24938,0.03
24996,0.03
25162,0.03
25323,0.03
25644,0.03
25651,0.03
25665,0.03
25850,0.03
25904,0.03
25909,0.06
25977,0.06
26631,0.03
26696,0.03
26701,0.03
26773,0.03
26847,0.03
26993,0.03
27197,0.03
27233,0.03
27729,0.03
28027,0.03
28068,0.03
28585,0.03
29359,0.03
29439,0.03
29518,0.03
29686,0.03
29697,0.03
29730,0.03
29977,0.03
30716,0.03
31535,0.03
32483,0.03
32488,0.03
32489,0.03
33134,0.03
33448,0.03
33614,0.03
33856,0.03
34037,0.03
34182,0.03
34192,0.03
34197,0.03
34199,0.03
34212,0.03
34807,0.03
34962,0.03
35279,0.03
35400,0.03
35496,0.03
35579,0.03
35774,0.03
35782,0.09
36196,0.03
36255,0.03
36291,0.03
36423,0.03
36548,0.03
36952,0.03
37014,0.06
37367,0.03
37663,0.03
