OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type
28,1976,3,8,0.7605633802816901,0.0887150688594731,26
633,1973,3,8,0.0985915492957746,0.6064981949458483,28
716,1969,3,8,0.7605633802816901,0.3055889824842893,26
932,1970,6,8,0.3380281690140845,0.2147345901858537,26
976,2004,3,8,0.5352112676056338,0.3236395240005348,61
982,2023,3,8,0.7887323943661971,0.1403262468244417,61
1682,2002,3,8,0.6338028169014085,0.5526139858269822,28
2009,1457,3,8,0.8450704225352113,0.2288407541115122,27
3180,1998,3,8,0.323943661971831,0.0683246423318625,61
4354,1995,3,8,0.4366197183098591,0.0,62
4560,2011,12,8,0.0,0.4146944778713731,25
4835,2005,9,8,0.5492957746478874,0.0400454606230779,26
4842,1972,3,8,0.0140845070422535,0.0318224361545661,28
5836,1972,3,8,0.1830985915492957,0.078018451664661,28
6300,1945,3,8,0.8028169014084507,0.4257253643535231,28
6377,1968,6,8,0.6901408450704225,0.078486428666934,61
6536,1962,3,8,0.1126760563380281,0.1732851985559566,28
7397,1935,3,8,0.2112676056338028,0.2289744618264473,28
7424,1981,3,8,0.8309859154929577,0.2459553416232116,28
7738,1990,3,8,0.6197183098591549,0.0918572001604492,28
8466,1963,3,8,0.5070422535211268,0.066987565182511,61
8795,1960,3,8,0.0985915492957746,0.1010830324909747,28
10089,1982,3,8,0.7887323943661971,0.0927931541649953,28
10166,1941,3,8,0.4647887323943662,0.1058296563711726,28
10488,1998,3,8,0.6901408450704225,0.4628292552480278,28
10862,1956,3,8,0.0845070422535211,0.0810268752507019,26
11056,1930,3,8,0.8169014084507042,0.0,64
11367,1999,3,8,0.7323943661971831,0.1456745554218478,28
11415,1960,3,8,0.2676056338028169,0.0556892632704907,26
11598,1956,3,8,0.5070422535211268,0.0525471319695146,61
11614,2000,3,8,0.2676056338028169,0.0645139724562107,61
11671,1982,3,8,0.7746478873239436,0.0607701564380264,61
12269,1970,3,8,0.1267605633802817,0.0530819628292552,26
12796,1981,3,8,0.2676056338028169,0.067455542184784,61
12876,2008,3,8,0.2535211267605634,0.0,28
12931,1963,3,8,0.5070422535211268,0.0850381066987565,61
13038,2000,3,8,0.2676056338028169,0.0656504880331595,28
13056,2001,3,8,0.5070422535211268,0.0795560903864153,28
13672,1992,3,8,0.971830985915493,0.107501002807862,28
13678,2016,3,8,0.2112676056338028,0.0684583500467976,61
13785,1993,3,8,0.2676056338028169,0.19828854124883,61
13844,1950,3,8,0.2676056338028169,0.2067789811472122,61
13869,1968,3,8,0.5070422535211268,0.0534162321165931,28
13874,1943,3,8,0.7605633802816901,0.0584971252841288,28
13876,1951,3,8,0.7746478873239436,0.0587645407139991,26
13884,1960,6,8,0.7746478873239436,0.0588313945714667,63
13926,1973,3,8,0.1126760563380281,0.3428265810937291,30
13936,1991,3,8,0.7605633802816901,0.0569594865623746,61
13954,2014,3,8,0.2676056338028169,0.1660649819494584,28
13996,1957,3,8,0.028169014084507,0.0683246423318625,30
14144,1953,6,8,0.7605633802816901,0.063511164594197,61
14253,1960,3,8,0.4507042253521127,0.0678566653295895,61
14369,1940,3,8,0.7605633802816901,0.0661853188929001,28
14404,2001,3,8,0.5352112676056338,0.9199759326113116,62
14407,2009,3,8,0.1830985915492957,0.3191603155502072,30
14451,1959,3,8,0.6901408450704225,0.0815617061104425,32
15028,1992,3,8,0.7183098591549296,0.6694745286803048,26
15159,1900,12,8,0.7464788732394366,0.4263939029281989,61
15163,2002,3,8,0.1830985915492957,0.0,30
15165,1997,3,8,0.7605633802816901,0.4162321165931273,28
15175,1940,3,8,0.9577464788732394,0.0687926193341355,61
15248,1955,3,8,0.2253521126760563,0.1641262200828987,61
15771,1990,3,8,0.0140845070422535,0.0942639390292819,28
15903,1935,3,8,0.7605633802816901,0.0617061104425725,30
15949,1936,6,8,0.2253521126760563,0.0523465703971119,61
16024,2024,3,8,0.7746478873239436,0.1667335205241342,62
16037,1985,3,8,0.4929577464788732,0.0,28
16040,1985,3,8,0.4929577464788732,0.0,28
16046,1986,3,8,0.4647887323943662,0.0591656638588046,28
16222,1955,3,8,0.4929577464788732,0.258189597539778,61
16235,1950,3,8,0.0845070422535211,0.2095868431608503,26
16482,2020,3,8,0.4929577464788732,0.2047733654231849,28
16641,1966,3,8,0.8028169014084507,0.1264206444711859,26
16791,1922,9,8,0.9859154929577464,0.041449391629897,61
16830,2006,6,8,0.7464788732394366,0.0386415296162588,28
16847,1900,3,8,0.2112676056338028,0.0397780451932076,61
16850,1900,3,8,0.1690140845070422,0.0425859072068458,61
16868,1999,3,8,0.7323943661971831,0.1824441770290145,63
16870,1900,6,8,0.2394366197183098,0.1786335071533627,28
16873,1900,3,8,0.7464788732394366,0.0460623077951597,61
16930,1919,3,8,0.352112676056338,0.0333600748763203,28
16970,1919,3,8,0.6619718309859155,0.0951330391763604,28
16992,1970,6,8,0.4507042253521127,0.0595667870036101,28
17006,1910,3,8,0.4507042253521127,0.0601684717208182,28
17034,1916,6,8,0.971830985915493,0.05294825511432,25
17187,1936,3,8,0.9577464788732394,0.0830993448321968,28
17539,1960,3,8,0.7183098591549296,0.0810937291081695,26
17955,1898,3,8,1.0,0.0685920577617328,26
17991,1898,3,8,0.9577464788732394,0.1463430939965236,28
18007,1900,3,8,0.1690140845070422,0.0371038908945046,28
18082,1988,3,8,0.352112676056338,0.2836609172349244,61
18355,1997,3,8,0.5070422535211268,0.3071934750635111,61
19057,1933,3,8,0.1830985915492957,0.0557561171279582,62
19232,1900,3,8,0.9859154929577464,0.0680572269019922,26
19315,2022,6,8,0.1830985915492957,0.0205241342425457,29
19370,1942,12,8,0.056338028169014,0.051544324107501,26
19373,1973,12,8,0.056338028169014,0.0522797165396443,26
19400,1959,3,8,0.2394366197183098,0.0391095066185318,28
19416,1979,3,8,0.6338028169014085,0.0832999064045995,29
19433,1905,3,8,0.4084507042253521,0.2812541783660917,61
19435,2022,15,8,0.5633802816901409,0.0513437625350982,27
19449,1900,3,8,0.323943661971831,0.0343628827383339,28
19575,1930,3,8,0.2253521126760563,0.0614386950127022,61
19619,1930,3,8,0.9859154929577464,0.5254044658376789,28
19801,1991,3,8,0.7464788732394366,0.065249364888354,26
19986,1930,9,8,0.0140845070422535,0.3461024201096403,61
20001,2003,3,8,0.4366197183098591,0.0,28
20031,1930,3,8,0.704225352112676,0.0544190399786067,29
20038,1900,3,8,0.704225352112676,0.0518117395373713,28
20204,1920,12,8,0.676056338028169,0.0209252573873512,62
20269,1920,3,8,0.8309859154929577,0.0666532958951731,61
20280,1930,3,8,0.8309859154929577,0.0322235592993715,61
20496,2009,3,8,0.0422535211267605,0.3863484423051209,28
20500,1998,3,8,0.0422535211267605,0.4227169407674822,28
20725,2001,3,8,0.2394366197183098,0.1410616392565851,28
21272,1880,9,8,0.9154929577464788,0.0685920577617328,61
23050,2012,3,8,0.8732394366197183,0.0,28
23589,2024,3,8,0.4929577464788732,0.1351116459419708,61
23598,1999,3,8,0.352112676056338,0.6068324642331862,28
23662,1952,3,8,1.0,0.0,28
23818,1955,3,8,0.9859154929577464,0.5188527878058563,28
23849,1890,3,8,0.7887323943661971,0.0792886749565449,31
23852,1890,3,8,0.7887323943661971,0.0793555288140125,31
23924,2014,3,8,0.2253521126760563,0.0,26
24129,2011,3,8,0.4507042253521127,0.0,28
24144,2002,3,8,0.1126760563380281,0.0,28
24203,1880,3,8,0.2957746478873239,0.0474662388019788,26
24288,1989,3,8,0.5352112676056338,0.1818424923118063,61
24353,1998,3,8,0.7323943661971831,0.0641128493114052,28
24479,1930,3,8,0.9859154929577464,0.0648482417435486,28
24774,1963,3,8,0.4647887323943662,0.2029683112715603,28
24902,2000,3,8,0.4366197183098591,0.0161786335071533,28
24938,1992,3,8,0.4788732394366197,0.1492178098676293,61
24996,1990,3,8,0.5070422535211268,0.1593127423452333,64
25162,1939,3,8,0.4788732394366197,0.0659179034630298,29
25323,2001,3,8,0.4788732394366197,0.1833801310335606,28
25644,2002,3,8,0.1971830985915492,0.03309265944645,26
25651,2002,3,8,0.2535211267605634,0.0776173285198555,61
25665,1998,3,8,0.2394366197183098,0.1702767749699157,28
25850,1997,3,8,0.6338028169014085,0.9347506351116458,28
25904,2003,3,8,0.2676056338028169,0.0737398047867361,28
25909,2009,6,8,0.2816901408450704,0.1835806926059633,28
25977,2002,6,8,0.7323943661971831,0.065717341890627,63
26631,1919,3,8,0.2112676056338028,0.092993715737398,61
26696,1996,3,8,0.9859154929577464,0.1070330258055889,28
26701,2021,3,8,0.4647887323943662,0.1130498729776708,61
26773,1960,3,8,0.4788732394366197,0.1650621740874448,28
26847,1996,3,8,0.2112676056338028,0.9199759326113116,28
26993,1930,3,8,0.4929577464788732,0.4750635111645941,26
27197,1969,3,8,0.4788732394366197,0.0634443107367295,26
27233,1966,3,8,0.7323943661971831,0.109707180104292,61
27729,1934,3,8,0.2112676056338028,0.1867228239069394,61
28027,1990,3,8,0.2676056338028169,0.0928600080224628,61
28068,1954,3,8,0.352112676056338,0.0820296831127155,26
28585,2001,3,8,0.971830985915493,0.2042385345634443,26
29359,1984,3,8,0.4788732394366197,0.0939965235994116,28
29439,1975,3,8,0.2253521126760563,0.1063644872309132,26
29518,1980,3,8,0.4788732394366197,0.1667335205241342,28
29686,1997,3,8,0.4507042253521127,0.1912688862147345,26
29697,2009,3,8,0.971830985915493,0.0,26
29730,1980,3,8,0.380281690140845,0.5571600481347774,26
29977,1996,3,8,0.5352112676056338,0.1164594197085171,28
30716,1960,3,8,0.971830985915493,0.0789544056692071,28
31535,1987,3,8,0.7887323943661971,0.0385078219013237,61
32483,1972,3,8,0.2253521126760563,0.1000133707714935,61
32488,2000,3,8,0.7323943661971831,0.099612247626688,62
32489,2000,3,8,0.7323943661971831,0.099612247626688,62
33134,2018,3,8,0.2253521126760563,0.0,28
33448,1950,3,8,0.2112676056338028,0.0790212595266746,28
33614,1992,3,8,0.2112676056338028,0.0534162321165931,26
33856,1964,3,8,0.7183098591549296,0.0830993448321968,28
34037,1969,3,8,0.7183098591549296,0.0782858670945313,28
34182,1960,3,8,0.0,0.1006819093461692,28
34192,1960,3,8,0.4647887323943662,0.0802914828185586,29
34197,1973,3,8,0.2253521126760563,0.204439096135847,61
34199,1975,3,8,0.4788732394366197,0.502674154298703,61
34212,1962,3,8,0.4788732394366197,0.2019655034095467,26
34807,1970,3,8,0.7183098591549296,0.0798235058162855,28
34962,1968,3,8,0.2112676056338028,0.0539510629763337,28
35279,1998,3,8,0.352112676056338,0.0804251905334937,26
35400,1991,3,8,0.2112676056338028,0.1407942238267147,61
35496,1970,3,8,0.0985915492957746,0.0792218210990774,26
35579,1958,3,8,0.8591549295774648,0.1768284530017382,28
35774,2002,3,8,0.2676056338028169,0.3231715469982618,26
35782,2017,9,8,0.2112676056338028,0.3945046129161652,61
36196,1989,3,8,0.704225352112676,0.438828720417168,32
36255,1999,3,8,0.8591549295774648,0.2551143200962695,28
36291,1970,3,8,0.971830985915493,0.644070062842626,28
36423,1995,3,8,0.2816901408450704,0.0726032892097874,28
36548,1983,3,8,0.028169014084507,0.0789544056692071,26
36952,1990,3,8,0.028169014084507,0.2119935820296831,26
37014,1971,6,8,0.7887323943661971,0.133975130365022,26
37367,1999,3,8,0.323943661971831,0.3966439363551276,28
37663,1975,3,8,0.028169014084507,0.0814948522529749,26
