OBJECTID,HEIGHT_norm
643,3
644,3
647,6
650,3
654,3
656,6
658,3
659,3
664,3
666,3
668,3
673,6
676,3
678,3
680,3
682,3
684,3
686,3
688,3
690,3
691,3
694,9
697,3
700,3
703,3
1121,3
1450,3
1641,3
1683,3
2011,3
5541,3
6196,3
6488,3
6807,3
7354,3
7498,3
7559,3
7565,12
7578,3
7585,3
7595,6
7612,3
7631,3
7633,3
7718,3
7728,3
8916,3
9140,3
9193,3
9239,3
9487,3
9498,3
9799,3
9948,3
9965,3
9973,3
10088,3
10423,6
10658,3
10726,3
10912,3
11057,3
11101,3
11174,3
11221,3
11266,3
11406,3
11472,3
11558,3
11561,3
11564,3
11658,3
11684,3
11790,3
12042,3
12420,3
12575,3
12662,3
12711,3
12735,3
12756,3
12817,9
12842,3
12901,12
12909,3
12916,6
12930,9
13000,3
13041,3
13270,3
13609,3
13611,3
13673,3
13682,3
13686,3
13700,3
13705,3
13719,3
13730,6
13756,3
13825,6
13854,3
13913,3
13927,15
13934,3
13971,6
13984,3
14059,3
14078,3
14090,3
14092,15
14145,3
14170,6
14264,15
14315,3
14324,3
14327,3
14345,3
14366,3
14374,3
14385,12
14387,6
14405,3
14453,3
14764,3
15029,3
15052,6
15189,15
15226,6
15241,3
15259,12
15276,3
15455,3
15524,3
15739,3
15747,3
15751,3
15760,3
15763,3
15768,3
15772,3
15776,6
15822,6
15857,6
15863,18
15865,6
15874,9
15896,3
15910,3
15911,3
15919,3
15925,3
15940,3
15942,3
15945,3
15952,3
15962,6
15965,12
15977,6
15979,3
16008,3
16017,9
16028,3
16030,3
16034,3
16104,3
16179,3
16195,3
16288,3
16348,3
16592,3
16596,3
16601,3
16603,3
16607,3
16611,3
16613,3
16616,3
16617,3
16759,3
16780,3
16783,3
16793,3
16800,3
16805,9
16809,9
16811,3
16818,3
16840,3
16865,15
16876,3
16899,6
16926,3
16935,3
16946,15
16969,3
16978,3
16995,3
17042,3
17253,3
17383,3
17584,3
17586,3
17588,3
17590,3
17592,3
17594,3
17596,3
17713,3
17717,3
17803,6
17827,12
17833,3
17852,6
17892,3
17908,3
17913,12
17917,3
17922,3
17924,9
17926,3
17930,3
17941,12
17975,6
17984,9
17987,6
17992,3
18032,6
18057,3
18074,12
18092,3
18101,6
18119,18
18222,6
18334,3
18337,3
18343,3
18398,3
18643,3
18652,6
18654,3
18656,3
18658,3
18660,6
18662,3
18666,3
18670,3
18672,6
18675,3
18677,3
18679,3
18681,6
18684,3
18685,3
18687,3
18689,3
18691,3
18695,3
18698,3
18700,3
18713,3
19163,6
19174,3
19198,9
19207,3
19223,6
19250,3
19258,9
19275,12
19284,15
19296,3
19306,6
19343,3
19368,6
19394,3
19397,9
19402,6
19422,3
19428,3
19438,6
19446,15
19456,9
19468,3
19506,9
19523,3
19696,3
19903,3
19909,3
19968,3
19973,3
19990,3
19996,6
19999,3
20093,3
20149,3
20161,9
20186,3
20199,3
20257,6
20260,3
20274,6
20286,6
20296,3
20313,3
20316,3
20330,3
20332,3
20342,3
20364,3
20382,3
20795,3
20804,6
20808,3
20810,3
20812,3
20815,3
20829,3
20834,3
20835,3
20838,6
20845,9
20846,9
20849,3
20853,3
20855,3
20978,6
20988,6
20992,3
20996,9
21006,9
21013,6
21017,6
21111,3
21112,3
21139,9
21142,6
21194,3
21232,3
21276,3
21380,3
21602,3
21662,6
21726,3
21752,3
21822,3
21829,3
21833,3
21952,3
21994,6
21997,3
22218,3
22256,3
22294,3
22356,3
22358,3
22360,3
22377,3
22630,3
22637,3
22701,3
23166,3
23229,3
23232,3
23245,3
23247,3
23273,3
23482,3
23663,3
23667,3
23670,15
24156,3
24204,3
24354,3
24488,6
24533,3
24681,3
24765,3
24943,3
24987,3
24990,3
25231,3
25637,3
25910,6
26136,3
26289,3
26397,3
26437,3
26496,3
26702,3
26803,3
26935,3
26956,3
27181,3
27209,3
27326,3
27348,12
