OBJECTID,HEIGHT_norm
116,3
313,3
333,3
425,3
590,3
888,3
1422,6
1451,3
1455,3
1458,3
1459,3
1685,3
2505,3
2816,3
3116,3
3477,3
3481,3
3484,3
3487,3
3490,3
3493,3
3496,3
3836,3
3838,3
4454,3
4515,3
4797,3
5025,9
5125,3
5737,3
5810,3
5971,3
6131,3
6504,3
6506,3
6553,3
6735,3
7052,3
7213,3
7339,3
7751,3
7924,3
8027,3
8353,3
8428,3
8480,3
8862,3
9028,3
9107,3
9368,3
9511,3
9793,3
9891,3
9942,3
10223,3
10536,3
11287,3
11360,6
11617,12
11710,3
11936,3
11977,3
12102,3
12222,3
12416,3
12649,3
12981,3
13126,3
13137,3
13186,3
13675,3
13750,3
13764,6
13986,3
14131,3
14465,3
14569,9
14738,3
14853,3
15023,21
15040,3
15044,3
15234,3
15244,21
15269,18
15271,3
15451,3
15497,3
15548,3
15698,3
15870,3
15906,15
15987,3
16051,3
17897,3
17925,3
18646,3
18811,3
18812,3
19261,3
19469,9
19517,6
19685,3
19916,3
19917,3
20096,6
20105,3
20267,3
20398,3
20703,3
20756,21
21134,3
21826,3
22245,3
22300,3
22303,3
22309,3
22351,3
22371,3
22511,3
22898,3
23084,3
23227,3
23246,3
23259,9
23260,3
23261,15
23275,3
23339,3
23478,3
23531,3
23557,3
23613,3
23781,3
24243,3
24471,3
24630,3
24653,3
24781,3
24916,3
25325,3
25339,6
25354,3
25654,3
25658,3
25779,3
25966,3
26412,3
26770,3
26864,3
26880,3
26883,3
27300,3
27999,3
28190,3
28583,3
28670,6
28671,3
28702,3
28704,3
28757,3
28851,3
29207,3
29740,3
30157,3
30249,3
30365,3
30505,3
30594,3
30684,3
31215,6
31269,3
31426,3
31449,3
31450,3
31539,3
31620,3
31692,3
31813,3
31875,6
32258,3
32388,3
32392,3
33126,6
33129,3
33137,3
33266,3
33422,3
34318,3
34747,3
34779,3
35483,3
35666,3
35700,3
35725,3
35750,3
35756,3
35767,3
35769,3
35872,3
35962,3
36200,3
36218,3
36256,3
36657,3
36800,3
36961,3
37146,3
37361,3
37562,3
