OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type
116,1984,3,9,0.7605633802816901,0.0690600347640058,47
313,2006,3,9,0.9859154929577464,0.0617061104425725,70
333,2004,3,9,0.8732394366197183,0.2499665730712661,47
425,1990,3,9,0.6056338028169014,0.0843027142666131,47
590,2006,3,9,0.7887323943661971,0.0369033293221018,47
888,1992,3,9,0.9577464788732394,0.1139189731247492,47
1422,1986,6,9,0.2676056338028169,0.0465302847974328,47
1451,2010,3,9,0.2676056338028169,0.1356464768017114,54
1455,2000,3,9,0.028169014084507,0.0,47
1458,1992,3,9,0.028169014084507,0.0,47
1459,1953,3,9,0.7605633802816901,0.0673218344698489,47
1685,2000,3,9,0.6338028169014085,0.5526139858269822,54
2505,2004,3,9,0.704225352112676,0.0663190266078352,70
2816,2006,3,9,0.704225352112676,0.0609038641529616,70
3116,2004,3,9,0.1126760563380281,0.1136515576948789,47
3477,2004,3,9,0.1267605633802817,0.0568257788474394,70
3481,2004,3,9,0.2253521126760563,0.0556892632704907,70
3484,2004,3,9,0.380281690140845,0.056892632704907,70
3487,2004,3,9,0.4225352112676056,0.0576948789945179,70
3490,2004,3,9,0.5070422535211268,0.0572937558497125,70
3493,2004,3,9,0.5070422535211268,0.055956678700361,70
3496,2004,3,9,0.5070422535211268,0.056424655702634,70
3836,2003,3,9,0.2957746478873239,0.0657841957480946,70
3838,2005,3,9,0.2676056338028169,0.0677898114721219,70
4454,2003,3,9,0.7605633802816901,0.1485492712929536,70
4515,2006,3,9,0.2957746478873239,0.0862414761331728,75
4797,1992,3,9,0.3380281690140845,0.2211525605027409,70
5025,1992,9,9,0.7887323943661971,0.1280919909078753,70
5125,1960,3,9,0.2957746478873239,0.1637919507955609,70
5737,1960,3,9,0.5492957746478874,0.080692605963364,47
5810,1955,3,9,0.5492957746478874,0.0798903596737531,47
5971,1999,3,9,0.4507042253521127,0.1588447653429603,47
6131,1900,3,9,0.676056338028169,0.2375986094397646,47
6504,1968,3,9,0.0,0.0629094798769889,47
6506,1971,3,9,0.0140845070422535,0.063043187591924,47
6553,1957,3,9,0.0,0.0,70
6735,1992,3,9,0.5492957746478874,0.1069661719481214,47
7052,1965,3,9,0.0140845070422535,0.0,47
7213,1966,3,9,0.2253521126760563,0.0,47
7339,1993,3,9,0.971830985915493,0.070129696483487,47
7751,1979,3,9,0.2253521126760563,0.0643802647412755,47
7924,1975,3,9,0.3943661971830985,0.322503008423586,47
8027,1999,3,9,0.2676056338028169,0.0799572135312207,47
8353,1995,3,9,0.971830985915493,0.0796897981013504,47
8428,1995,3,9,0.0,0.065717341890627,47
8480,1950,3,9,0.6197183098591549,0.1879261933413557,47
8862,1963,3,9,0.8873239436619719,0.0790212595266746,47
9028,1978,3,9,0.5211267605633803,0.0648482417435486,47
9107,1915,3,9,0.971830985915493,0.066519588180238,70
9368,1970,3,9,0.971830985915493,0.0666532958951731,47
9511,1968,3,9,0.971830985915493,0.0605695948656237,47
9793,1993,3,9,0.8169014084507042,0.0533493782591255,70
9891,2001,3,9,0.1267605633802817,0.3955742746356464,47
9942,1969,3,9,0.380281690140845,0.0790212595266746,47
10223,1928,3,9,0.971830985915493,0.0641128493114052,70
10536,1960,3,9,0.4647887323943662,0.0669207113250434,70
11287,1997,3,9,0.2676056338028169,0.0661184650354325,47
11360,1963,6,9,0.7323943661971831,0.092993715737398,47
11617,2007,12,9,0.2676056338028169,0.0599010562909479,47
11710,2004,3,9,0.2676056338028169,0.0613718411552346,70
11936,2003,3,9,0.5211267605633803,0.065717341890627,70
11977,1976,3,9,0.2816901408450704,0.0655836341756919,47
12102,2006,3,9,0.2253521126760563,0.0804920443909613,70
12222,2002,3,9,0.7323943661971831,0.0788875518117395,70
12416,2000,3,9,0.1126760563380281,0.3164193073940366,47
12649,2003,3,9,0.7746478873239436,0.0920577617328519,47
12981,1975,3,9,0.7746478873239436,0.0603021794357534,47
13126,1975,3,9,0.676056338028169,0.1696750902527075,47
13137,2015,3,9,0.3661971830985915,0.3698355395106297,70
13186,1994,3,9,0.7323943661971831,0.0810268752507019,47
13675,1992,3,9,0.971830985915493,0.107501002807862,47
13750,1951,3,9,0.7746478873239436,0.0592993715737397,70
13764,1978,6,9,0.2676056338028169,0.3500467977002273,47
13986,1978,3,9,0.3943661971830985,0.3223693007086508,47
14131,1936,3,9,0.5211267605633803,0.0528814012568525,70
