OBJECTID,HEIGHT_norm
6,0.03
524,0.03
574,0.03
1270,0.03
1273,0.03
1317,0.03
1320,0.03
1323,0.03
1368,0.03
1452,0.03
1454,0.03
1505,0.03
1536,0.03
1549,0.03
1566,0.03
1575,0.03
1587,0.03
1592,0.03
1612,0.03
1645,0.03
1648,0.03
1664,0.03
1709,0.03
1745,0.03
1755,0.03
1762,0.03
1774,0.03
1781,0.03
1830,0.03
1841,0.03
1877,0.03
1898,0.03
1910,0.03
1913,0.03
1916,0.03
1925,0.03
1950,0.03
1961,0.03
2001,0.03
2015,0.03
2055,0.03
2058,0.03
2155,0.03
2175,0.03
2192,0.03
2217,0.03
2219,0.03
2233,0.03
2251,0.03
2255,0.03
2346,0.03
2359,0.03
2364,0.03
2409,0.03
2451,0.03
2474,0.03
2493,0.03
2514,0.03
2524,0.03
2527,0.03
2541,0.03
2547,0.03
2550,0.03
2565,0.03
2587,0.03
2594,0.03
2621,0.03
2623,0.03
2629,0.03
2680,0.03
2729,0.03
2761,0.03
2765,0.03
2769,0.03
2828,0.03
2834,0.03
2885,0.03
2890,0.03
2893,0.03
2896,0.03
2901,0.03
2904,0.03
2907,0.03
2923,0.03
2926,0.03
2941,0.03
2953,0.03
2982,0.03
2985,0.03
2989,0.03
2992,0.03
2998,0.03
3049,0.03
3064,0.03
3067,0.03
3101,0.03
3131,0.03
3137,0.03
3152,0.03
3162,0.03
3198,0.03
3210,0.03
3214,0.03
3217,0.03
3231,0.03
3238,0.03
3250,0.03
3252,0.03
3261,0.03
3266,0.03
3282,0.03
3291,0.03
3299,0.03
3683,0.03
3689,0.03
3697,0.03
3699,0.03
3710,0.03
3716,0.03
3734,0.03
3744,0.03
3769,0.03
3771,0.03
3775,0.03
3784,0.03
4514,0.03
4621,0.03
4795,0.03
5113,0.03
5149,0.03
5154,0.03
6159,0.03
6161,0.03
6484,0.03
6648,0.03
7566,0.03
7591,0.03
7948,0.03
9892,0.03
10209,0.03
10470,0.03
12642,0.03
12878,0.03
14477,0.03
15215,0.09
16168,0.06
16184,0.03
16187,0.06
16481,0.03
16483,0.03
16487,0.09
16567,0.06
16779,0.03
17799,0.03
17808,0.09
18327,0.03
18557,0.03
18632,0.03
19189,0.03
19297,0.03
19502,0.03
19987,0.06
20814,0.06
20821,0.03
20826,0.06
21473,0.03
21750,0.03
21789,0.06
21790,0.03
21796,0.03
21989,0.03
22141,0.03
22331,0.03
23015,0.03
23660,0.03
23671,0.03
23742,0.03
24205,0.03
24702,0.03
24718,0.03
25057,0.03
25334,0.03
25340,0.03
25345,0.09
25346,0.03
25350,0.03
25533,0.03
25638,0.03
25645,0.03
25901,0.03
26070,0.03
26124,0.03
26160,0.03
26838,0.03
28590,0.06
29983,0.03
30183,0.03
30185,0.03
30777,0.03
31210,0.03
31213,0.03
31229,0.03
31408,0.03
31509,0.03
31851,0.03
32198,0.03
32387,0.03
32410,0.03
32450,0.06
32986,0.03
33041,0.06
33179,0.03
33277,0.03
34452,0.06
34457,0.03
34506,0.03
34583,0.03
34608,0.03
35032,0.03
35448,0.03
35467,0.03
35470,0.03
35784,0.06
35958,0.03
36076,0.03
36168,0.03
36728,0.03
36729,0.03
36786,0.03
36907,0.03
36948,0.06
37049,0.06
37368,0.06
37374,0.06
37621,0.03
37637,0.03
37881,0.03
