OBJECTID,HEIGHT_norm
21,0.03
78,0.03
112,0.03
138,0.03
209,0.03
232,0.03
255,0.03
263,0.03
276,0.06
279,0.03
291,0.06
296,0.03
299,0.03
382,0.03
452,0.03
525,0.03
545,0.03
552,0.03
565,0.03
569,0.03
584,0.03
588,0.03
599,0.03
609,0.03
648,0.03
651,0.03
751,0.03
777,0.03
806,0.06
859,0.03
1000,0.03
1005,0.03
1016,0.03
1019,0.03
1022,0.03
1031,0.03
1043,0.03
1049,0.03
1054,0.03
1057,0.03
1069,0.03
1073,0.03
1077,0.03
1081,0.03
1084,0.03
1094,0.03
1098,0.03
1101,0.03
1105,0.03
1109,0.03
1122,0.03
1149,0.03
1162,0.03
1237,0.03
1245,0.03
1249,0.03
1253,0.09
1263,0.03
1267,0.03
1281,0.03
1285,0.03
1289,0.03
1294,0.06
1297,0.03
1301,0.03
1304,0.06
1307,0.03
1310,0.03
1332,0.03
1336,0.03
1341,0.03
1347,0.03
1355,0.03
1358,0.03
1362,0.03
1377,0.03
1382,0.03
1405,0.03
1408,0.06
1413,0.03
1427,0.06
1430,0.06
1435,0.03
1440,0.06
1456,0.03
1482,0.06
1490,0.03
1496,0.03
1502,0.06
1509,0.03
1511,0.03
1527,0.03
1533,0.03
1541,0.03
1544,0.06
1560,0.03
1571,0.03
1582,0.03
1597,0.06
1600,0.06
1605,0.06
1619,0.03
1622,0.03
1631,0.03
1638,0.03
1658,0.03
1662,0.06
1667,0.03
1686,0.03
1689,0.03
1696,0.06
1699,0.03
1719,0.03
1723,0.03
1727,0.03
1741,0.03
1750,0.03
1759,0.03
1778,0.06
1793,0.03
1797,0.03
1801,0.06
1805,0.03
1808,0.06
1812,0.06
1819,0.03
1825,0.03
1834,0.06
1838,0.06
1844,0.03
1852,0.03
1854,0.06
1857,0.06
1859,0.09
1871,0.06
1886,0.03
1904,0.03
1919,0.06
1923,0.03
1931,0.06
1934,0.06
1937,0.03
1939,0.06
1942,0.06
1968,0.03
1976,0.03
1984,0.03
1992,0.03
2006,0.03
2012,0.03
2028,0.03
2043,0.03
2046,0.03
2052,0.03
2061,0.03
2068,0.03
2070,0.06
2074,0.06
2079,0.03
2086,0.03
2093,0.03
2099,0.06
2102,0.03
2106,0.03
2108,0.03
2111,0.03
2117,0.03
2120,0.03
2126,0.03
2134,0.03
2139,0.03
2145,0.03
2148,0.03
2151,0.03
2169,0.06
2186,0.03
2190,0.03
2209,0.03
2215,0.03
2227,0.06
2230,0.03
2236,0.06
2239,0.03
2245,0.03
2261,0.03
2264,0.06
2273,0.03
2276,0.03
2293,0.03
2303,0.03
2309,0.03
2313,0.03
2326,0.06
2333,0.06
2339,0.03
2353,0.06
2356,0.06
2368,0.03
2381,0.03
2387,0.03
2390,0.06
2394,0.03
2406,0.03
2413,0.03
2423,0.03
2429,0.03
2444,0.03
2449,0.03
2455,0.03
2460,0.06
2467,0.03
2471,0.03
