OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
21,2000,3,11,72.0,0.7605633802816901,0.088581361144538,50
78,1987,3,11,,0.5070422535211268,0.0560903864152961,10
112,1970,3,11,155.42,0.5070422535211268,0.3503810669875651,10
138,1990,3,11,138.68,0.9859154929577464,0.0461291616526273,76
209,1963,3,11,125.93,1.0,0.0513437625350982,10
232,1977,3,11,77.91,0.7323943661971831,0.0648482417435486,50
255,1975,3,11,31.32,0.9154929577464788,0.0681909346169273,50
263,2016,3,11,191.37,1.0,0.0613718411552346,50
276,1971,6,11,105.69,0.4788732394366197,0.0518785933948388,50
279,1972,3,11,76.74,0.4788732394366197,0.0527476935419173,10
291,2000,6,11,,0.4788732394366197,0.0508089316753576,50
296,1989,3,11,59.11,0.9859154929577464,0.0637785800240673,50
299,2023,3,11,113.84,0.9859154929577464,0.0641797031688728,50
382,1965,3,11,63.76,0.5352112676056338,0.0779515978071934,50
452,2001,3,11,81.94,0.0985915492957746,0.0562909479876988,76
525,2010,3,11,,0.3661971830985915,0.2750367696216071,10
545,1965,3,11,73.98,0.7887323943661971,0.5528145473993848,10
552,1947,3,11,24.18,0.5633802816901409,0.2121272897446182,50
565,2007,3,11,,0.6338028169014085,0.0486696082363952,50
569,1970,3,11,24.94,0.323943661971831,0.1647279048001069,50
584,2018,3,11,44.13,0.5492957746478874,0.0506752239604225,50
588,2018,3,11,40.42,0.5492957746478874,0.0486027543789276,50
599,2003,3,11,,0.056338028169014,0.0978071934750635,50
609,2017,3,11,,0.4647887323943662,0.0493381468110709,10
648,1993,3,11,,0.1690140845070422,0.133039176360476,78
651,2018,3,11,117.96,0.0704225352112676,0.4295360342291749,78
751,2000,3,11,81.94,0.4788732394366197,0.1997593261131167,10
777,1998,3,11,53.7,1.0,0.0546196015510094,50
806,1972,6,11,153.75,0.4929577464788732,0.0547533092659446,50
859,1971,3,11,208.72,0.9859154929577464,0.1505548870169808,50
1000,1959,3,11,,0.352112676056338,0.0604358871506885,50
1005,2007,3,11,78.09,0.9577464788732394,0.030418505147747,50
1016,1960,3,11,43.33,0.1690140845070422,0.1356464768017114,50
1019,1960,3,11,,0.3380281690140845,0.0571600481347773,50
1022,1935,3,11,93.19,0.352112676056338,0.0450594999331461,50
1031,1995,3,11,46.03,0.9295774647887324,0.0459954539376922,50
1043,2022,3,11,153.69,0.2957746478873239,0.0391763604759994,50
1049,2023,3,11,185.26,0.676056338028169,0.0,50
1054,2023,3,11,189.52,0.7464788732394366,0.0439229843561973,50
1057,2023,3,11,161.8,0.8028169014084507,0.0445246690734055,50
1069,2010,3,11,,0.352112676056338,0.1633908276507554,10
1073,2001,3,11,61.96,0.028169014084507,0.0643802647412755,50
