OBJECTID,HEIGHT_norm
8,3
11,3
12,3
16,3
19,3
22,3
25,3
30,3
32,3
35,3
37,6
39,6
41,3
46,3
51,3
56,3
59,3
67,6
71,3
73,3
79,3
82,3
85,3
88,6
93,3
96,3
97,3
100,3
103,6
107,3
109,3
113,3
119,3
120,15
122,3
125,3
126,3
131,3
137,3
140,3
146,3
151,3
160,3
162,3
169,6
170,3
173,3
176,3
180,3
183,3
186,3
191,3
197,3
198,3
203,3
205,3
210,3
214,3
216,3
220,3
224,3
226,3
227,3
233,6
235,3
238,3
240,3
241,3
243,6
245,3
247,3
252,3
253,3
258,3
261,3
268,3
273,3
277,3
280,6
283,3
285,3
288,3
292,3
297,3
300,3
304,3
310,3
314,3
319,3
321,3
323,3
325,3
329,6
334,3
337,3
341,3
350,3
352,3
358,3
362,3
366,3
368,3
372,3
374,3
383,6
399,3
401,3
406,3
409,3
415,6
418,3
420,3
422,3
429,3
431,3
432,3
435,3
440,3
444,3
462,3
467,3
470,3
476,3
480,6
483,3
489,3
494,3
497,6
502,6
526,3
529,3
533,9
541,3
543,3
546,3
553,9
554,3
557,3
559,3
562,3
566,3
570,3
575,3
577,6
581,3
585,3
589,3
593,3
613,3
625,3
635,3
642,3
645,3
649,6
652,3
660,3
661,3
663,3
665,3
670,3
672,3
674,3
692,3
698,6
699,3
701,6
706,3
712,3
718,3
722,3
724,3
728,3
730,3
742,3
745,3
747,3
752,3
754,3
757,3
759,3
762,3
764,3
771,3
773,3
775,3
778,3
780,3
787,3
788,3
794,3
797,3
799,6
803,3
807,6
809,3
814,3
816,3
818,3
821,3
827,3
830,6
835,3
836,3
841,3
846,3
850,3
853,3
856,3
860,3
862,3
866,9
868,9
870,3
873,3
875,3
880,3
881,3
890,6
892,6
895,3
897,3
899,3
902,3
904,3
906,3
908,3
909,6
915,3
917,3
921,3
925,3
928,3
930,3
934,3
937,6
938,3
942,3
950,6
955,3
957,6
968,3
974,9
978,3
987,6
989,6
993,3
996,3
1001,6
1002,3
1008,3
1017,3
1020,3
1023,3
1025,3
1032,3
1034,3
1038,3
1050,3
1052,3
1055,6
1058,3
1060,3
1064,3
1070,6
1074,3
1078,3
1086,3
1095,3
1099,3
1102,6
1106,6
1110,3
1117,3
1126,3
1128,3
1131,3
1135,3
1146,3
1148,3
1155,6
1165,3
1172,3
1175,3
1178,3
1181,3
1184,3
1187,3
1189,9
1192,9
1234,3
1238,3
1246,3
1250,3
1254,3
1264,3
1268,3
1271,3
1276,3
1278,3
1282,3
1291,3
1295,3
1299,3
1302,3
1305,3
1308,3
1312,3
1318,3
1321,3
1324,3
1326,3
1328,3
1333,3
1337,3
1342,6
1345,3
1348,3
1351,3
1353,3
1356,3
1359,3
1363,3
1369,3
1371,3
1374,3
1378,3
1380,3
1383,3
1385,3
1388,3
1390,3
1392,3
1394,3
1396,3
1398,3
1400,3
1402,3
1406,3
1409,3
1414,3
1416,3
1419,3
1428,3
1431,3
1433,3
1436,3
1438,6
1441,3
1444,6
1448,3
1457,3
1462,6
1465,6
1468,6
1471,3
1474,3
1476,3
1479,3
1483,6
1487,3
1494,3
1499,3
1503,3
1506,3
1512,3
1514,3
1516,3
1518,3
1522,3
1528,3
1530,3
1534,6
1537,3
1539,3
1542,3
1545,3
1547,3
1550,3
1552,3
1554,3
1556,3
1557,3
1561,3
1567,3
1572,3
1576,3
1580,3
1583,3
1585,3
1588,3
1593,3
1595,3
1598,3
1601,3
1603,3
1606,3
1608,3
1610,3
1613,3
1626,3
1628,3
1632,3
1635,3
1643,3
1646,3
1650,3
1655,3
1659,3
1663,3
1665,3
1668,3
1676,3
1679,3
1687,3
1697,3
1702,3
1704,3
1707,3
1710,3
1712,3
1714,6
1716,3
1720,3
1724,3
1728,3
1731,3
1737,3
1739,3
1746,3
1751,3
1753,3
1756,3
1760,3
1763,3
1766,3
1769,3
1772,3
1775,3
1779,3
1782,3
1789,3
1794,3
1798,3
1802,3
1806,3
1809,3
1813,3
1815,3
1817,3
1820,6
1823,3
1828,3
1831,3
1835,3
1839,3
1845,3
1848,3
1855,3
1858,3
1860,3
1868,3
1872,3
1876,3
1878,3
1881,3
1883,3
1887,3
1892,3
1893,3
1899,3
1902,3
1905,3
1911,3
1914,3
1920,3
1924,3
1926,3
1929,3
1932,3
1935,3
1940,3
1943,6
1947,3
1948,3
1951,3
1952,3
1957,3
1959,3
1962,3
1969,3
1972,3
1974,3
1977,3
1980,3
1982,3
1985,3
1988,3
1990,3
1997,3
1999,3
2002,3
2010,3
2013,3
2016,3
2018,6
2021,3
2023,3
2026,3
2029,6
2033,6
2037,6
2039,3
2044,3
2047,3
2050,3
2053,3
2056,3
2059,3
2062,3
2064,3
2071,3
2080,3
2082,3
2084,3
2087,3
2090,3
2094,3
2096,3
2100,3
2103,3
2109,3
2112,3
2118,3
2121,3
2123,3
2127,3
2131,3
2135,3
2140,3
2143,6
2146,3
2149,3
2152,3
2156,3
2159,3
2163,3
2165,3
2167,3
2170,3
2173,3
2176,3
2179,3
2183,3
2187,3
2193,3
2196,3
2199,3
2202,3
2204,3
2206,3
2210,3
2212,3
2218,3
2220,3
2221,3
2224,3
2225,3
2228,3
2231,6
2234,3
2237,3
2240,6
2243,3
2246,3
2252,3
2259,3
2262,3
2265,3
2271,3
2274,3
2281,6
2286,3
2287,3
2289,3
2294,3
2296,3
2299,3
2304,3
2310,3
2314,3
2316,3
2321,3
2327,3
2331,3
2334,3
2336,3
2340,3
2341,3
2344,3
2347,3
2351,3
2354,3
2357,3
2360,3
2362,3
2365,3
2369,3
2372,3
2374,6
2379,3
2382,3
2385,3
2388,6
2391,3
2395,3
2397,3
2398,3
2401,3
2407,3
2410,3
2414,3
2417,3
2419,3
2421,3
2424,3
2430,3
2436,3
2438,3
2442,3
2445,3
2453,3
2456,3
2461,3
2464,3
2472,3
2475,3
2477,3
2480,3
2483,3
2485,3
2487,3
2497,3
2499,3
2501,3
2503,3
2508,3
2512,3
2515,3
2519,3
2522,3
2525,3
2528,3
2529,3
2530,3
2533,3
2535,3
2537,3
2542,3
2544,3
2548,3
2551,3
2553,3
2555,3
2559,3
2560,3
2564,3
2566,3
2570,3
2572,3
2574,3
2577,3
2579,3
2581,3
2588,3
2590,3
2592,3
2595,3
2597,3
2601,3
2602,3
2615,3
2618,3
2624,3
2627,3
2630,3
2632,3
2638,3
2643,3
2646,3
2650,3
2653,3
2657,3
2659,3
2663,3
2666,3
2669,3
2672,3
2674,6
2678,3
2681,3
2684,3
2687,3
2694,3
2701,3
2704,3
2707,3
2710,3
2713,3
2717,3
2720,3
2723,3
2727,3
2733,3
2736,6
2739,6
2745,3
2747,3
2749,3
2750,3
2757,3
2759,3
2766,3
2770,3
2771,3
2773,3
2776,6
2780,3
2786,3
2788,3
2792,3
2796,6
2797,3
2800,3
2807,6
2810,3
2813,3
2817,3
2824,3
2829,3
2832,3
2835,3
2838,3
2840,3
2843,3
2847,3
2850,3
2853,6
2860,3
2863,3
2867,3
2871,6
2874,3
2877,3
2880,3
2886,3
2888,3
2891,3
2894,3
2897,3
2899,3
2902,3
2905,3
2908,3
2912,6
2916,3
2917,3
2921,3
2934,3
2939,3
2948,6
2950,3
2954,3
2960,3
2961,3
2962,3
2963,3
2967,3
2973,3
2975,3
2980,3
2983,3
2986,3
2990,3
2993,3
2996,3
2999,3
3001,3
3006,3
3012,3
3018,3
3026,6
3030,3
3038,3
3041,3
3047,3
3050,3
3051,3
3056,6
3057,3
3061,3
3068,3
3075,3
3079,3
3082,3
3089,3
3097,3
3100,3
3104,3
3107,6
3111,3
3115,3
3117,3
3121,3
3126,3
3129,3
3146,6
3149,3
3158,6
3160,3
3165,3
3171,3
3176,3
3183,3
3189,3
3196,3
3202,3
3206,3
3211,3
3221,3
3229,3
3242,3
3246,3
3256,3
3259,3
3264,3
3268,3
3270,6
3273,3
3280,3
3289,3
3294,3
3296,3
3302,3
3307,3
3314,3
3317,3
3324,3
3327,3
3333,3
3336,3
3347,3
3349,3
3352,6
3364,6
3367,3
3370,3
3375,3
3378,3
3381,3
3393,3
3397,3
3401,3
3404,3
3407,3
3414,3
3421,3
3424,3
3427,3
3429,6
3432,3
3435,3
3438,3
3445,3
3448,3
3451,3
3455,3
3459,3
3462,3
3471,3
3509,3
3516,3
3518,3
3522,3
3524,3
3526,3
3529,3
3531,6
3536,9
3540,3
3547,3
3550,3
3557,3
3560,3
3565,3
3570,3
3577,3
3581,3
3587,3
3591,3
3594,6
3597,3
3603,3
3607,3
3610,3
3613,3
3620,3
3625,3
3630,6
3640,3
3645,3
3648,3
3651,3
3655,6
3658,3
3665,3
3669,3
3673,3
3675,3
3676,3
3681,3
3686,3
3691,3
3703,3
3714,3
3720,6
3723,3
3727,3
3731,6
3732,3
3735,3
3739,3
3742,3
3752,3
3756,3
3761,6
3773,3
3781,3
3785,3
3790,3
3794,3
3800,3
3802,3
3806,3
3811,3
3815,3
3818,3
3820,3
3824,3
3828,3
3831,3
3844,6
3849,6
3852,3
3855,3
3858,3
3860,3
3864,3
3868,3
3869,3
3872,3
3878,3
3882,3
3889,3
3893,3
3897,3
3899,3
3902,3
3904,3
3907,3
3910,3
3914,3
3917,3
3921,3
3924,3
3926,9
3928,3
3933,3
3935,3
3939,3
3943,3
3947,3
3954,3
3958,3
3963,3
3966,3
3970,3
3976,3
3982,3
3984,3
3985,6
3992,3
3995,3
3998,3
4001,3
4003,3
4008,3
4013,3
4016,3
4021,3
4024,3
4027,3
4030,3
4036,3
4038,3
4042,3
4051,3
4056,3
4067,3
4072,3
4085,3
4091,3
4095,6
4098,3
4110,3
4115,3
4121,3
4136,3
4145,6
4158,3
4163,3
4166,6
4168,3
4179,3
4185,6
4187,3
4191,3
4195,3
4200,3
4203,3
4206,3
4211,3
4235,3
4241,6
4245,3
4248,3
4250,3
4253,3
4257,3
4261,6
4263,3
4273,3
4283,6
4288,6
4290,3
4293,3
4298,6
4304,3
4313,3
4315,3
4317,3
4319,3
4326,6
4329,3
4333,3
4339,3
4341,6
4343,3
4345,3
4350,3
4353,3
4360,3
4366,3
4369,3
4377,3
4382,3
4384,3
4391,3
4401,9
4406,3
4408,3
4416,3
4430,6
4434,3
4436,3
4437,3
4441,3
4444,3
4447,3
4449,3
4452,3
4456,3
4461,3
4462,3
4479,3
4483,3
4486,3
4489,3
4493,3
4497,3
4501,3
4506,3
4510,3
4512,3
4516,3
4521,3
4522,3
4525,6
4533,3
4536,3
4538,6
4541,3
4546,3
4552,15
4555,3
4561,3
4564,3
4571,3
4577,3
4581,3
4587,3
4591,3
4599,3
4600,3
4601,3
4604,3
4608,3
4616,3
4618,3
4625,3
4628,6
4632,3
4635,3
4637,3
4645,3
4647,3
4652,6
4654,3
4657,3
4660,3
4663,3
4666,3
4670,6
4675,3
4679,3
4682,3
4685,3
4691,3
4695,3
4698,3
4702,3
4705,3
4708,3
4710,3
4717,3
4720,3
4725,3
4732,9
4737,3
4742,3
4746,6
4754,3
4758,6
4761,3
4764,3
4776,3
4779,3
4783,3
4785,3
4788,3
4791,3
4794,3
4800,3
4804,3
4811,6
4814,6
4818,3
4821,3
4824,3
4826,3
4838,3
4840,3
4841,3
4844,3
4850,6
4855,3
4858,12
4861,12
4863,15
4870,12
4872,3
4874,3
4896,3
4899,3
4901,3
4903,3
4905,3
4907,3
4911,3
4913,3
4915,3
4918,3
4922,3
4924,3
4927,6
4930,3
4934,3
4937,9
4939,3
4944,3
4946,3
4954,3
4956,3
4959,3
4965,3
4982,3
4988,3
4991,3
4993,3
4995,3
5000,6
5018,3
5020,3
5028,6
5031,3
5034,3
5036,3
5038,3
5040,3
