OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
8,1973,3,12,150.33,90.0,8.07,79
11,1971,3,12,,90.0,8.99,79
12,1984,3,12,118.75,90.0,8.91,71
16,1975,3,12,152.73,90.0,8.34,71
19,1975,3,12,107.61,270.0,13.15,48
22,2000,3,12,,270.0,13.25,48
25,1970,3,12,107.44,270.0,13.32,71
30,1968,3,12,108.53,270.0,13.25,79
32,1974,3,12,98.22,270.0,13.23,71
35,1971,3,12,104.94,185.0,10.94,71
37,1971,6,12,91.15,180.0,10.84,71
39,1971,6,12,128.43,180.0,10.93,71
41,1971,3,12,108.59,270.0,13.27,71
46,1978,3,12,110.92,90.0,48.35,71
51,1993,3,12,269.51,90.0,10.43,71
56,1971,3,12,121.05,270.0,8.34,71
59,1976,3,12,138.73,0.0,8.37,79
67,1969,6,12,58.03,90.0,10.3,79
71,1961,3,12,42.58,180.0,8.06,79
73,1971,3,12,3.28,180.0,8.03,48
79,1996,3,12,,180.0,8.39,48
82,2002,3,12,320.4,300.0,22.11,71
85,1975,3,12,115.0,0.0,4.72,71
88,2003,6,12,313.92,310.0,43.72,71
93,1965,3,12,115.4,355.0,10.08,71
96,1970,3,12,71.33,355.0,10.04,48
97,1970,3,12,157.15,355.0,10.01,71
100,1987,3,12,435.78,130.0,15.15,71
103,1993,6,12,129.38,130.0,15.26,79
107,1968,3,12,18.3,130.0,23.61,48
109,1970,3,12,111.13,180.0,32.54,71
113,1970,3,12,122.56,180.0,52.41,48
119,1970,3,12,139.39,275.0,10.26,71
120,1982,15,12,144.29,275.0,10.24,71
122,1960,3,12,128.02,270.0,10.23,71
125,2003,3,12,203.42,355.0,10.04,71
126,1971,3,12,23.46,90.0,9.96,71
131,2003,3,12,241.25,90.0,9.93,71
137,1960,3,12,112.26,310.0,15.16,79
140,1970,3,12,151.5,350.0,6.47,71
146,1965,3,12,64.46,350.0,6.22,71
151,1969,3,12,123.6,350.0,5.12,71
