encoded,class_name
0,Agent office
1,Auditorium
2,Automobile commerce
3,Basic education
4,Butcher commerce
5,"Casino (<20,000)"
6,"Casino (>20,000)"
7,Chemical industry
8,Clinic
9,Club
10,Colonnade (50%)
11,Commerce
12,Covered terrace (100%)
13,Cultural house education
14,Daycare
15,Education
16,Education (Library)
17,Electric industry
18,Entertainment
19,Entertainment hall
20,Fabric commerce
21,Financial commerce
22,Food industry
23,Furniture commerce
24,Hospital
25,Hostel Standard 1
26,Hotel
27,Hotel 3 Stars
28,Hotel Cafe 1 Star
29,Hotel Cafe 2 Stars
30,Hotel Cafe 3 Stars
31,Hotel Cafe 4 Stars
32,Hotel Cafe 5 Stars
33,Housing
34,Industry
35,Institute education
36,Liquid storage tanks
37,Machinery industry
38,Manufacturing industry
39,Medical/Law office
40,Metal industry
41,Museum education
42,Office
43,Other dispensary
44,Other office activities
45,Other outpatient clinic
46,Other sanatorium
47,Other uses
48,Parking
49,Pharmacy commerce
50,Porch (100%)
51,Printing commerce
52,Private garden (100%)
53,Professional education
54,Public
55,Public delegation
56,"Public town hall (>20,000)"
57,Religious
58,Religious chapel
59,Religious parish
60,Residence
61,Restaurant 1 Star
62,Restaurant 2 Stars
63,Restaurant 3 Stars
64,Restaurant 4 Stars
65,Retail commerce
66,Salesperson office
67,Sports
68,Sports complex
69,Sports facilities
70,Station
71,Storage
72,Supermarket commerce
73,Swimming pool
74,Theater
75,Transformer hut
76,Undeveloped land
77,University education
78,Urbanization works
79,Warehouse
