YearBuilt1,count
190,1
1868,1
1880,4
1885,1
1890,6
1892,1
1898,1
1900,31
1903,1
1904,1
1905,1
1908,2
1909,14
1910,3
1912,1
1913,1
1916,2
1917,1
1918,1
1919,4
1920,9
1923,4
1924,2
1926,1
1928,1
1929,3
1930,46
1931,2
1932,2
1933,1
1934,3
1935,2
1936,9
1937,5
1939,4
1940,38
1941,3
1942,3
1943,3
1944,2
1945,20
1946,3
1947,11
1948,6
1949,5
1950,57
1951,8
1952,5
1953,5
1954,3
1955,19
1956,7
1957,9
1958,17
1959,7
1960,81
1961,11
1962,21
1963,25
1964,15
1965,48
1966,15
1967,11
1968,17
1969,17
1970,113
1971,32
1972,20
1973,37
1974,41
1975,54
1976,29
1977,9
1978,35
1979,32
1980,41
1981,21
1982,8
1983,14
1984,17
1985,13
1986,19
1987,44
1988,62
1989,43
1990,59
1991,49
1992,31
1993,30
1994,18
1995,11
1996,13
1997,13
1998,12
1999,17
2000,15
2001,7
2002,6
2003,5
2004,7
2005,8
2006,6
2007,4
2008,9
2009,6
2012,2
2013,3
2014,1
2015,3
2016,2
2017,2
2018,1
2019,4
2020,2
2021,1
2022,4
2024,2
