YearBuilt1,count
190,1
1457,1
1500,1
1868,1
1880,25
1885,1
1888,1
1890,10
1892,1
1895,1
1896,1
1898,10
1900,103
1901,2
1902,1
1903,3
1904,1
1905,5
1906,1
1908,3
1909,15
1910,8
1912,2
1913,1
1914,4
1915,3
1916,4
1917,2
1918,3
1919,16
1920,34
1921,1
1922,2
1923,7
1924,3
1925,6
1926,2
1927,1
1928,5
1929,5
1930,77
1931,8
1932,3
1933,5
1934,4
1935,6
1936,25
1937,5
1939,10
1940,63
1941,9
1942,12
1943,8
1944,3
1945,32
1946,5
1947,26
1948,11
1949,8
1950,96
1951,12
1952,6
1953,12
1954,6
1955,30
1956,16
1957,19
1958,31
1959,21
1960,152
1961,24
1962,38
1963,43
1964,24
1965,76
1966,22
1967,15
1968,42
1969,31
1970,176
1971,37
1972,29
1973,51
1974,56
1975,100
1976,36
1977,21
1978,49
1979,50
1980,65
1981,27
1982,20
1983,20
1984,28
1985,22
1986,23
1987,57
1988,72
1989,53
1990,92
1991,68
1992,51
1993,49
1994,40
1995,33
1996,31
1997,24
1998,27
1999,36
2000,105
2001,17
2002,18
2003,15
2004,20
2005,16
2006,22
2007,9
2008,19
2009,13
2010,11
2011,5
2012,12
2013,4
2014,6
2015,6
2016,3
2017,3
2018,5
2019,5
2020,5
2021,4
2022,8
2023,1
2024,2
