YearBuilt1,count
190,1
970,1
1050,1
1457,1
1500,1
1757,1
1800,3
1852,1
1853,1
1855,1
1868,1
1876,1
1879,1
1880,233
1881,4
1882,5
1883,15
1884,2
1885,15
1886,3
1887,3
1888,7
1889,4
1890,118
1891,3
1892,6
1893,7
1894,4
1895,21
1896,6
1897,3
1898,32
1900,809
1901,24
1902,10
1903,9
1904,11
1905,54
1906,13
1907,10
1908,19
1909,23
1910,127
1911,8
1912,24
1913,21
1914,25
1915,53
1916,27
1917,20
1918,58
1919,74
1920,289
1921,33
1922,50
1923,69
1924,57
1925,92
1926,32
1927,40
1928,58
1929,75
1930,675
1931,107
1932,71
1933,53
1934,89
1935,125
1936,175
1937,32
1938,32
1939,68
1940,395
1941,79
1942,81
1943,68
1944,43
1945,198
1946,63
1947,124
1948,136
1949,114
1950,944
1951,176
1952,147
1953,274
1954,238
1955,521
1956,369
1957,318
1958,505
1959,329
1960,1620
1961,326
1962,383
1963,396
1964,300
1965,640
1966,219
1967,238
1968,407
1969,362
1970,884
1971,293
1972,235
1973,255
1974,251
1975,449
1976,210
1977,153
1978,294
1979,278
1980,540
1981,147
1982,233
1983,216
1984,143
1985,150
1986,179
1987,230
1988,268
1989,320
1990,425
1991,274
1992,263
1993,242
1994,242
1995,199
1996,245
1997,225
1998,262
1999,310
2000,347
2001,285
2002,244
2003,261
2004,271
2005,241
2006,278
2007,280
2008,216
2009,138
2010,81
2011,46
2012,51
2013,23
2014,26
2015,23
2016,34
2017,42
2018,39
2019,48
2020,71
2021,64
2022,69
2023,56
2024,54
2025,1
