label,index
4,12483
3,18209
2,10914
3,18318
2,20362
3,10805
4,12840
0,7291
0,3698
2,9230
1,17195
2,20000
2,22105
0,11499
2,2995
1,12421
3,10524
1,11759
3,17255
2,15350
2,24689
3,24518
0,16079
2,19207
3,19196
2,1438
3,22082
4,2952
0,12874
4,7074
0,12934
1,10623
2,12825
2,13998
1,6349
3,479
2,12444
3,10541
2,25640
2,1808
1,19
0,25580
3,9344
2,12555
2,20034
1,568
1,25852
0,8766
4,4872
0,16612
4,8737
0,14597
0,23402
0,277
3,24322
3,16461
1,11190
2,21966
1,23923
3,8515
0,23620
2,7868
4,6687
3,24151
3,11250
3,144
2,9628
2,14475
0,24316
2,4957
0,14871
2,3174
3,11157
3,23436
0,21422
2,14723
3,4605
0,14820
0,11106
3,13392
2,6640
2,8851
3,22529
4,23645
1,10048
0,21600
2,21591
0,14501
3,14690
1,24165
0,23917
0,23614
0,6433
3,8461
4,18547
2,23744
1,1092
4,1303
4,11225
4,23907
0,25188
0,14511
0,24175
0,21913
2,13371
3,22539
2,10058
2,1030
3,24217
2,14673
0,6710
2,18827
4,193
3,18724
3,14830
0,313
4,8482
0,23426
4,17999
2,4947
2,21867
3,11300
3,11091
0,13345
0,24141
3,294
4,18423
3,8505
3,11351
0,15758
0,23630
0,23552
3,24332
0,11033
0,4973
1,8667
2,327
1,6936
2,6635
3,14587
0,14496
3,16901
4,8636
1,18650
2,11122
3,3290
3,58
2,2463
1,9214
3,9185
0,7097
2,578
3,20024
1,20164
0,21199
3,14109
0,25601
2,25590
3,25481
2,15374
0,1818
2,10551
0,12454
2,7035
2,6359
0,19390
3,10633
2,7064
2,2490
1,22092
4,20101
3,24699
2,23368
0,2546
0,19186
0,19217
3,12460
2,3929
1,5266
2,11749
0,2686
1,10534
2,12431
0,11718
2,22115
0,10656
0,7050
2,12910
4,18308
1,10607
2,15162
4,12801
2,17067
0,7390
0,5295
3,17127
1,10747
2,12821
0,2847
3,18268
4,22086
3,25577
0,2715
1,7070
3,12411
0,12780
4,10685
3,25584
0,24579
2,20030
0,22135
3,25856
0,25644
2,12440
3,10545
4,15220
0,11629
0,15360
3,10794
3,6328
4,12596
4,20366
2,22263
2,20226
0,1799
2,22323
3,6268
1,9296
3,1688
2,7015
2,12815
4,10613
0,13658
0,21339
0,12534
2,29
4,21279
0,19203
2,9325
2,2552
2,20004
0,558
2,25862
1,22101
2,12565
2,12425
0,2991
2,13147
3,11293
3,11102
3,24192
1,4953
0,11013
2,1135
3,247
0,4481
2,11153
4,13056
0,307
1,16680
3,23610
0,23913
4,125
1,13274
4,23641
4,3303
3,24161
2,23802
3,14505
0,14602
0,14593
1,18584
2,5508
1,16647
0,22929
3,2368
2,4775
1,13033
1,6973
0,4936
1,14482
1,8400
4,24155
3,10138
2,23735
3,21630
0,21962
2,13091
0,10169
0,23624
0,6792
0,22548
2,11345
2,6782
0,6413
2,23634
0,17659
2,24054
4,8690
4,8501
2,4984
0,22558
2,17488
1,19908
0,10179
3,16475
1,13201
3,150
3,18476
0,22698
2,11095
0,24145
2,21923
1,6693
3,13163
2,14800
3,16905
2,18817
4,4765
3,16845
2,11126
2,24227
2,24336
0,5689
3,23556
0,8820
2,323
2,13072
4,6932
1,24171
1,12019
3,16781
0,23651
0,21857
4,15739
1,13235
1,20529
1,16441
4,18782
0,23422
1,13046
3,7429
3,14865
2,4943
3,1034
4,16871
3,6817
2,7478
3,14737
1,18823
3,10530
2,12435
0,7276
1,22111
3,20014
4,1828
2,19213
0,17301
0,13499
3,39
2,12805
0,6369
3,12646
4,7005
0,17123
0,1698
0,7285
3,12854
2,1789
4,10652
4,10811
3,15370
3,25485
2,10784
4,19367
2,10555
4,12450
4,11639
4,15261
3,4198
0,2494
3,7060
2,12920
2,2806
0,3469
2,22096
4,10666
2,11998
0,9123
2,24819
0,25476
2,12831
2,12820
3,11989
2,25576
4,22087
2,10834
2,15052
1,7071
0,9163
0,24578
3,20171
0,25585
4,12410
4,10684
1,9341
3,19327
2,10455
4,9201
2,20031
2,25857
2,22134
3,15221
2,12441
3,10544
0,25645
3,19376
1,10795
3,15361
0,11768
4,20367
1,10800
2,12905
0,7294
3,1798
0,20227
0,1689
0,19020
3,2771
3,10612
3,1458
2,12814
2,12535
3,21338
0,28
0,508
1,20054
2,19202
2,2442
1,9235
1,17201
3,559
2,20005
2,22100
2,25863
4,8388
2,12424
1,18832
3,24342
3,24193
3,11103
3,14965
1,6946
3,6754
3,24313
0,4952
3,306
3,14637
4,18793
1,21817
3,23912
0,23611
0,6436
3,6576
2,16450
0,3093
1,6467
0,9588
0,23640
1,7808
2,23491
4,21605
2,14504
4,11261
1,15668
4,24160
4,1040
2,14592
2,14603
0,6620
4,14743
0,24327
3,24236
3,4774
2,14483
2,23687
2,23516
3,23984
1,3054
3,14811
3,21631
3,24154
0,4556
0,3227
2,13090
3,11344
2,22549
3,110
0,23625
2,22559
3,8500
0,23635
3,5978
0,6783
0,16474
1,17489
2,18566
0,21862
3,18477
3,151
2,11094
0,22699
2,16607
4,14493
2,1141
3,233
4,16904
1,8773
2,11127
1,8870
0,24337
1,13133
2,11036
4,16780
3,18991
0,12018
2,9749
0,24170
2,23813
0,21916
3,165
1,8565
3,21856
1,23650
0,13265
0,23423
0,23563
3,256
2,4942
1,1035
1,11282
2,23472
1,18822
3,7479
3,207
1,16930
1,13758
1,10531
2,12434
1,22281
1,22110
3,20384
0,458
0,19183
0,19212
0,1829
3,12496
2,1699
0,6368
1,1788
2,7284
4,2973
4,10810
4,19366
2,25655
0,23359
0,12451
2,25604
0,3468
4,7061
3,4199
3,22097
1,20203
0,25477
1,19395
0,12673
2,10636
0,12830
0,3788
2,12810
2,18199
4,10587
0,10804
4,20363
2,22326
4,12841
2,20001
3,11498
1,22104
1,17205
0,23268
2,12420
0,10525
2,2994
1,11758
3,19197
0,19206
4,12471
4,16078
0,24688
4,17382
4,2953
0,10970
0,12875
1,22083
2,848
2,6088
2,959
1,6348
2,17102
2,25641
2,1809
1,21248
2,12445
4,10540
3,7206
2,18
3,25581
2,569
0,20035
0,25853
1,19323
3,4933
3,16910
4,14815
3,21885
0,14596
4,18913
1,16493
1,18581
3,23891
4,24323
2,4962
3,6764
4,20829
2,23543
0,8454
3,20699
0,23621
0,14425
4,11340
0,1266
2,114
4,8405
2,24150
3,16431
0,14474
0,9629
2,15489
2,23973
0,11080
2,145
2,4956
0,14870
4,24317
0,21472
1,8941
2,6581
1,4816
2,14821
3,11107
0,10049
3,23644
0,25348
0,22528
0,13220
4,17629
1,24164
2,11265
3,14992
1,14500
4,16405
2,21601
0,23615
2,10018
0,23916
0,120
4,18556
2,1302
2,13321
0,3207
4,11224
2,3196
2,16444
2,22478
1,24174
3,23714
3,25189
3,14510
2,21751
0,22538
2,1031
3,18725
2,6711
0,23427
0,312
3,252
2,4946
3,16666
0,21462
3,11090
2,24391
3,11241
0,23631
3,295
2,24280
0,13137
1,24333
0,23553
2,6634
0,326
4,13166
4,8637
0,16603
2,14497
1,20928
0,16840
0,22120
3,20025
2,579
3,5202
0,9184
2,25591
2,25600
4,10501
0,15375
4,10882
0,25812
0,25480
2,10550
2,12455
0,1819
0,6358
3,25473
3,7034
1,10931
3,22353
3,809
2,10632
1,7065
1,22093
2,23369
2,12461
3,19216
2,19187
3,24698
3,24509
0,22005
2,25826
1,5267
3,9361
2,10535
4,12430
3,7273
2,22114
2,9143
0,18309
0,7051
2,1
4,20262
4,5294
2,19615
4,20692
2,3228
2,17496
0,22546
3,4788
1,10136
1,20552
0,20630
2,22735
3,5786
1,20873
2,4938
1,15560
3,19437
0,2366
0,25044
2,5590
0,22523
3,10042
1,9616
3,25192
2,21909
0,25083
3,19621
4,9496
3,21479
0,12274
4,9525
3,10371
1,17983
0,20655
2,309
4,8709
3,22750
3,14638
0,12225
0,9574
1,8618
0,5423
1,15505
0,22701
0,25161
4,9434
3,17892
3,4141
2,21366
0,556
3,1764
1,13844
4,16022
0,27
3,21337
1,16133
4,11850
0,11753
0,24683
0,1735
2,13815
3,24730
2,13534
3,1686
0,3880
3,21115
3,16080
3,18312
4,20368
2,24761
4,85
0,21395
4,8374
3,1406
4,1797
3,20228
1,1701
2,1802
3,13821
3,11924
3,1942
2,13
0,2428
1,11767
2,1641
1,18015
0,1750
3,14113
3,13930
0,1913
2,25858
0,562
2,21170
2,25579
3,22088
0,24584
0,24755
2,10629
0,22348
2,3566
0,8251
2,13500
3,24704
0,2849
0,21061
3,952
4,16265
0,17119
3,24714
0,25478
1,6353
0,8301
2,13541
0,581
0,3467
0,24745
0,4196
4,6093
3,25569
4,10668
3,24605
0,24594
2,22098
4,11504
2,16146
3,1903
3,5198
1,572
2,13623
3,1740
0,1843
3,16286
2,1651
2,1711
2,1480
0,4074
0,13831
0,1812
2,1787
3,1556
4,18302
4,16181
3,21385
0,95
3,12499
2,21294
3,1696
0,24720
3,12648
2,16241
2,6367
1,1725
3,24693
3,1826
3,13805
0,37
3,1665
0,3760
3,406
1,1774
0,3832
3,1634
0,22480
3,22711
1,7536
2,15515
2,25171
3,7476
4,20754
0,13159
3,22740
0,13048
0,20645
3,21469
3,22600
3,8659
3,6848
3,7427
1,7846
4,15865
0,25182
0,22533
0,21859
4,17632
0,15834
0,25054
3,5516
2,24338
0,12190
2,18819
0,24229
2,22725
2,11128
2,20620
0,10244
1,23968
0,22696
3,18478
3,12023
1,25227
2,7771
0,5674
4,25276
2,19605
3,17717
3,17486
4,15931
4,25256
2,17925
0,22527
1,15663
4,16898
2,25207
4,12003
3,10106
4,9570
2,25165
3,22705
3,11108
4,7522
2,4959
1,5536
0,24318
0,2356
0,25074
2,20651
2,17851
3,6689
3,17612
1,17492
0,19611
4,7926
3,17800
0,25322
3,6798
3,22542
3,21509
2,19573
3,14599
0,279
1,8679
0,25040
2,20826
3,7516
0,20634
2,22731
0,21418
4,9544
3,11971
2,3651
0,1754
0,24573
0,7318
4,13637
3,566
4,13934
0,1806
0,21247
1,1705
3,11763
4,13666
4,1645
0,17
3,24640
3,6196
0,4302
1,6347
0,24700
3,8255
4,20098
0,24580
0,8344
0,9028
0,21174
2,24751
1,11757
1,1671
1,3877
3,23
1,19349
0,2558
2,19209
2,19198
2,13811
3,3937
2,13712
3,1731
2,24687
0,11497
1,18074
3,552
0,5229
1,72
4,1863
4,8012
0,1760
2,21391
2,3696
4,1793
3,6262
4,16344
1,6373
2,1682
0,24734
3,2939
3,16084
0,4336
2,10619
1,23004
0,16094
0,24724
0,17129
4,1692
0,24635
0,1783
2,91
0,4237
3,14080
1,18306
0,793
0,1770
1,62
1,13801
1,1822
2,19188
4,19219
3,24697
2,1721
2,13493
0,11596
2,1661
0,21323
0,33
1,4104
3,14325
2,24741
1,20348
1,585
0,13405
2,754
3,24590
3,24601
4,16360
1,857
4,21075
0,6357
4,13514
3,18363
3,24710
0,15158
3,4312
2,21135
4,1655
3,11773
4,1816
0,13835
2,1715
1,576
3,56
1,4161
0,21197
4,1744
3,14498
1,20927
4,22721
2,6969
3,20624
0,20735
2,12254
0,25050
3,14589
2,25110
0,12085
4,13078
2,12136
2,22552
1,9824
2,10173
2,19601
3,20894
0,22692
3,1228
0,21869
4,7724
3,17742
2,20546
0,12027
0,2197
2,22744
0,20641
2,24248
1,19885
1,4949
0,23568
2,25175
1,12371
2,19994
3,24219
1,11118
0,22715
3,20750
4,18829
4,16638
0,25035
2,22477
0,12013
2,25186
3,10056
3,7481
3,22537
1,7902
0,23909
0,19624
1,17736
2,20532
2,22526
4,12002
3,2124
1,16899
0,16629
1,15440
3,24199
0,11298
2,11109
3,22704
2,25164
