label,index
1,5114
1,17137
0,10854
3,2877
0,5285
0,7011
0,15032
0,12951
3,7380
4,18349
4,20333
1,22236
3,3789
2,3418
3,25456
2,4278
4,19025
2,12652
4,24839
4,2774
4,10757
3,9103
5,9292
1,19165
4,12712
4,12483
2,24979
3,10617
4,2634
4,10586
2,9043
3,25516
4,25687
4,4338
5,18198
1,18209
2,20273
3,22376
1,3558
3,2937
2,10914
1,17077
3,5054
0,12811
3,15172
3,7151
4,18089
1,18318
2,20362
2,3449
4,22267
1,10805
2,2826
2,5145
2,17166
3,12900
5,7040
0,15063
4,19074
2,12603
0,12592
1,2725
2,10706
4,10497
0,24868
5,9152
1,4229
3,25407
3,25796
2,4369
1,25547
4,19134
2,12743
1,10646
2,2665
3,24928
3,9012
4,9383
1,17026
4,5005
4,2966
2,10945
0,5394
5,15123
5,7100
4,12840
3,7291
5,18258
1,20222
3,3698
1,3509
2,22327
3,25765
4,16168
0,3828
4,12561
4,19316
0,19087
0,9230
2,23269
2,2447
2,10464
4,24798
4,24409
2,5227
5,17204
5,17195
3,7322
2,15301
5,15090
2,20000
2,20391
2,22105
0,22294
3,11499
3,11708
4,20140
3,22045
5,11648
3,24549
4,17344
2,5367
2,2995
2,15241
3,7262
5,12421
0,19256
4,9370
0,23329
1,10524
3,2507
2,2696
1,25625
5,3968
5,16028
2,12530
0,19347
5,9261
2,2416
5,10435
2,2787
2,23238
2,3879
5,16139
1,25734
5,20051
0,11759
3,25837
2,22154
4,5276
1,17255
3,2884
2,24458
1,7373
2,15350
2,17315
0,5336
3,17084
2,24689
1,24518
1,15210
2,7233
2,15181
1,20111
4,20280
4,11588
4,11619
2,22014
2,22385
3,16079
0,3939
0,25674
4,12470
0,19207
1,19196
4,9321
0,10575
1,2556
3,23378
2,19291
2,19100
0,12777
4,2651
3,10672
3,9026
1,25573
4,13889
2,6258
4,849
2,1438
2,20187
2,20216
1,22082
0,22313
2,10971
4,2952
4,17383
0,5031
1,17012
3,12874
5,15286
3,7134
2,15117
0,17152
3,5171
4,2812
4,10831
5,15057
4,7074
3,12934
2,1578
2,20356
0,22253
3,25433
1,6318
0,6089
0,909
5,19040
2,12637
3,2480
4,10732
2,2711
5,9166
2,25522
0,6209
2,6198
2,818
4,19151
1,12726
3,2591
3,2600
5,10623
3,9077
3,5060
0,17043
4,10920
3,2903
2,7165
5,15146
2,12825
0,20247
3,1469
2,22342
1,20096
5,20307
3,1529
4,22193
2,22202
0,2843
0,10860
1,17292
2,17103
1,5120
0,12965
2,15397
0,15006
4,7025
3,19380
4,19011
2,12666
4,10763
3,2740
2,9137
3,25462
2,13998
5,6349
2,958
0,13728
0,20125
1,479
4,8079
3,22020
2,5093
0,5302
3,17321
1,7196
1,7207
0,15224
2,12444
2,21249
3,19233
3,9084
1,9315
3,2562
1,10541
2,25640
2,1808
1,14148
2,25491
1,25700
1,14008
1,14399
0,1948
2,12695
1,12504
4,21309
1,21098
4,19373
4,9255
4,10790
0,10401
5,19
0,2422
2,17261
5,5242
3,10893
1,15364
1,7347
0,12996
5,13668
4,20065
3,539
2,8139
4,22160
3,25803
4,5353
4,17370
5,10982
1,7256
4,15275
2,12887
4,20174
4,13779
1,428
2,8028
2,22071
3,25580
4,25611
1,14119
4,14288
3,1859
1,21218
3,21189
1,12784
3,12415
5,19262
1,9344
4,10681
2,2533
1,10510
2,21358
2,12555
5,19322
1,9195
4,9204
5,10450
1,2473
3,48
3,25751
0,1919
2,14059
2,20034
2,13639
5,568
0,8168
5,25852
3,22131
3,5182
4,17230
1,5213
5,7087
3,15335
3,7316
2,8766
1,3280
4,4872
2,16851
4,11132
2,3111
3,1385
5,6977
1,14954
4,13037
2,1014
2,18640
0,366
4,7518
4,7689
3,24233
5,9898
1,23453
2,21556
2,18943
1,14657
1,6674
3,20939
4,16752
2,4771
5,8865
5,18803
1,14486
3,6734
2,14717
2,20879
1,16583
3,4631
3,16612
2,8925
4,23682
2,23513
2,21787
3,21416
1,7458
2,21884
1,24373
1,23981
3,8626
2,3051
2,11072
3,16911
3,4932
3,1154
5,13177
4,14814
1,6837
5,18491
3,18700
1,226
2,21995
4,7549
1,24262
4,23890
4,8737
5,11163
5,3140
4,4823
4,16800
1,13066
1,1045
1,6926
0,14905
1,337
0,18580
5,18611
1,18912
1,20968
3,14597
3,14606
3,6625
0,16492
3,16703
0,4720
1,8834
2,23793
3,23402
0,21696
1,21507
3,23542
2,21447
1,18852
4,20828
4,6765
1,14746
3,4660
4,16643
3,8974
3,8677
2,3391
5,16940
4,4963
3,3000
5,11023
1,1294
2,14845
0,6866
1,1105
4,13126
3,277
4,18751
2,7409
3,7798
1,24322
3,9989
1,23760
4,9739
5,7928
2,12068
4,21665
4,14564
3,6547
3,16461
2,4442
0,11190
5,11201
4,3222
4,8455
2,18573
1,13095
5,13304
2,1327
5,20509
1,20698
5,15608
2,15599
2,21966
4,23863
2,24291
3,24100
3,15748
